IUPAC,PNA 0.1ug/ml,PNA 1ug/ml,PNA 10ug/ml,PNA 100ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,5.893782438,9.565630204,3.628618183,6.976125639
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,7.761723405,7.59411776,5.168923953999999,4.27695917
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,9.093584079,21.02377461,10.50078161,38.35706688
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,3.359889213,7.202860314,6.768176652999999,11.39748539
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,12.34536028,9.504399881,5.862968713,3.925606335
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,10.17990108,9.876747048,7.104863927,3.249361514
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,6.2999526679999995,5.9688957920000005,2.527193596,2.393529092
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,5.633345277999999,10.22291809,8.067161627,5.2016659469999995
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,14.1604282,16.7692169,16.37483089,28.88529231
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,6.86886378,2.05739459,2.500679308,11.53632329
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,35.79423727,11.42685296,4.246642582,14.56703337
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,9.167994477999999,7.36337404,4.076264418,7.938023287999999
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,19.34282996,12.73969187,3.6365525360000004,3.95029302
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,10.24265007,18.92319599,2.628012832,5.75351783
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.77678976,20.808413,6.296899048999999,5.374775264
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.335345047000001,12.65963331,1.7659090469999998,1.692836059
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.28338659,7.5699603820000005,4.397132563,9.201199927000001
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,4.849930167,8.614209228,5.8992875510000005,11.96225449
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,9.348971992000001,8.009280456,4.6590987639999994,6.885648641
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,10.27708498,2.80698585,6.320573137,5.658714624
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,8.279224106000001,8.89490596,1.3835199880000002,4.826868858
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,10.01975026,8.184241813,5.985206247000001,3.5197464689999998
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,5.824620507000001,2.035089808,5.631535716,13.04584453
Fuc(a1-2)Gal(b1-Sp8,10.56123026,5.738053535,9.877519511000001,5.7924401439999995
Fuc(a1-3)GlcNAc(b1-Sp8,12.85083119,22.86957155,8.358433068,11.66779643
Fuc(a1-4)GlcNAc(b1-Sp8,10.12277041,4.5156473539999995,3.3425637630000002,1.5031771
Fuc(b1-3)GlcNAc(b1-Sp8,5.628258517999999,14.73348546,2.613237023,8.096301707
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,9.453546861,11.54023607,6.402949304,4.743932613999999
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.883983379,8.229233941,0.693194949,14.70617597
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,10.92642914,6.392226437000001,7.334211869,16.99691876
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,3.025845716,2.285674145,3.3145801319999997,26.21604758
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,7.190651122,1.61160645,0.34826620399999997,19.27236444
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,4.455650563,9.468137599,8.324059853,10.11251301
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,6.056930432000001,9.702088796,12.90957248,5.51037741
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,23.77841376,12.94383539,2.7996396989999996,15.60789933
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,5.543918904,9.151836891,3.345577787,5.930889747999999
GalNAc(a1-3)GalNAc(b1-Sp8,6.294685741,23.46813722,6.3748735860000005,4.521065288
GalNAc(a1-3)Gal(b1-Sp8,4.158864235,4.262036441,4.968270452,186.1798034
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,15.00095588,9.773353419,1.308519026,45.59864382
GalNAc(b1-3)GalNAc(a1-Sp8,18.92057099,6.174135131,6.2753106810000014,5.915387517999999
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,10.47414597,20.42752258,9.915901609,1.8747483619999998
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,8.200527971,16.91321395,12.00591325,11.07312949
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.255753854,9.83512781,3.285454914,25.92677566
GalNAc(b1-4)GlcNAc(b1-Sp0,7.897572032999999,9.662895587000001,5.5633467229999995,24.39948133
GalNAc(b1-4)GlcNAc(b1-Sp8,9.63007421,9.912045863,2.941191955,9.330606592999999
Gal(a1-2)Gal(b1-Sp8,6.328199677000001,6.1506009110000015,5.236852104,13.57875928
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,3.396373497,2.36021309,11.92272533,8.912507057000001
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,27.51429635,16.38885903,5.027716098,12.66963931
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,16.02871255,8.545114356000001,14.04513401,9.914524453
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,1.8922898540000002,3.1003327919999997,19.31280383,9.957947673
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,6.999931103,11.76457727,8.012695754,5.7579195379999994
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,9.370566235,4.510806097,6.440000443,2.79240282
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,4.67091926,9.652722552,6.529811195,10.25064954
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,9.187328338,4.912636869,3.249700953,11.17436814
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,8.846622361,12.17394145,4.355978894,18.8475379
Gal(a1-3)GalNAc(a1-Sp8,12.77084229,27.94752713,7.663510937000001,36.46058653
Gal(a1-3)GalNAc(a1-Sp16,11.53900224,13.55448957,3.50594754,16.56436312
Gal(a1-3)GalNAc(b1-Sp8,10.4984915,5.614017412999999,2.317675099,18.83794607
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.333200996,8.225403575,14.78783966,5.463478177000001
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,13.958332500000001,7.354025962000001,5.431493468999999,14.52434466
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,7.84978417,5.666167889,0.900290925,17.53134971
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,17.45312386,8.656720929,3.0473875169999998,15.97610206
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,3.856729857,8.951829477999999,8.053303046,15.51538034
Gal(a1-3)Gal(b1-Sp8,15.87306228,3.843193223,6.798110789,6.775990315
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,14.96523655,9.397659021,8.663964582,23.81621987
