IUPAC,ACL(Vector) (0.01ug/ml),ACL (0.1ug/ml),ACL(Vector) (0.3ug/ml),ACL (1ug/ml),ACL (10ug/ml),ACL (100ug/ml)
Gal(a1-Sp8,18.54832588052087,15.100024266509203,16.290770319698428,9.032308511301707,6.3896485719743135,8.281885627228855
Glc(a1-Sp8,7.944093093770987,5.428084111667148,8.51954713096105,13.636269999038108,6.604119889571468,9.839838631976306
Man(a1-Sp8,8.042745482524388,12.682634677483199,10.99124029864238,11.627488807992911,45.236584928821706,11.604062583530824
GalNAc(a1-Sp8,13.530077435938788,9.854820316094044,2.5069603871022728,9.30239684525804,13.788061516489556,101.9476597574412
GalNAc(a1-Sp15,15.239686577485745,9.577645356070915,17.026246920636996,38.50315518823317,7.456455469088517,17.659911579124618
Fuc(a1-Sp8,14.354126385352284,2.496053995810178,8.16102119442374,20.602268924400875,5.60168201495468,5.8820806083675095
Fuc(a1-Sp9,1.8036235878549256,4.614411925966298,7.587508423004659,13.117903566849645,30.395495797184605,3.297296266640294
Rha(a1-Sp8,2.891492654178223,6.3303499636671,6.151264954665827,5.171079494892748,3.8077691599981933,3.4600563415451333
Neu5Ac(a1-Sp8,15.552941193308088,1.4765697644089475,11.193248540191568,15.975904280170393,10.557010454156368,18.12365391367039
Neu5Ac(a1-Sp11,5.049498131745326,11.23070075770727,18.68762491407526,10.313949401013495,8.840647345264559,23.9220759113662
Neu5Ac(b1-Sp8,9.628755582109255,4.590101576490442,16.042934321038857,8.521075485084015,10.435479508708104,10.252981510598104
Gal(b1-Sp8,9.052265500783044,12.960829057683785,23.49767587321137,17.207548477727247,13.951679416830087,20.379999215652575
Glc(b1-Sp8,13.04661005957742,3.7243404135273854,12.915579634173096,7.789067268507395,13.754470309048614,12.975555705344572
Man(b1-Sp8,11.352514588260467,5.9299720080143175,5.243841035602297,6.903475164183612,12.324542725661955,7.644200502505157
GalNAc(b1-Sp8,15.635040878184492,9.718102573547993,20.96075798699005,5.0609836562832955,3.1421208011734083,16.561544336705644
GlcNAc(b1-Sp0,11.35116616134659,3.902547443230724,7.8107773033482495,17.520505752688766,6.4725042177789724,3.127804774784817
GlcNAc(b1-Sp8,10.063125206208722,4.627669921515575,5.124301176664647,6.3635427844217896,8.862660079372333,5.154761780059936
GlcN[Gc](b1-Sp8,7.229606717922728,10.258429148225698,5.200997271677804,8.588038459392235,4.99867542555026,12.468439044510212
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.100021705886551,6.6500376074124565,8.772927517605892,3.7424982336891848,4.478518706280009,8.174145492292556
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,8.398604469543335,3.992248718454297,5.371921566426066,2.7933500143197234,5.564336835224244,15.185597468983559
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,2.4104636628665466,21.863718262607275,10.648945815549062,6.742154647378433,6.497034826493287,13.949081675239755
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.163720766473228,7.273688403187657,5.982227521236001,5.935071186037552,5.398750819325409,10.282736400718768
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,13.451586077237634,12.906917438722546,7.331628579654049,8.936964782669044,7.395614887834997,12.724127912618075
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,11.137277903621671,19.623497252528765,4.279527239758239,16.35837951293361,5.6566992433750585,17.85719799576593
(3S)Gal(b1-4)Glc(b1-Sp8,6.5753388133236275,6.315587021805658,17.64985406349016,2.573247929983952,6.4527809185265275,4.7557034231716635
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,5.284193333818012,5.734596604818858,21.05353802745119,4.5810001654478665,8.066740925966737,10.678480086760162
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,2.410680037354608,6.4944104813293135,7.080876927977672,3.614543463449661,7.567578107734781,7.743134080805615
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,16.631758989555696,2.376581408942973,4.6055110149869884,3.926391678012607,3.097440150619001,12.420496899715138
(3S)Gal(b1-3)GalNAc(a1-Sp8,67.9140733719204,185.4277515116645,456.10338845807195,436.9773833867797,2307.549492773001,706.8560766828982
(3S)Gal(b1-3)GlcNAc(b1-Sp0,6.575284995090837,1.6876057408846032,3.792379629379595,6.296906734460977,2.5696415721198687,5.320948939490657
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.05266088317086,4.5593214999602845,16.846526289713253,3.0210295276058927,6.021921425647022,3.185579379014104
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,9.623929823275583,5.807408995986652,28.90470185285609,8.752817865122061,3.200821370627647,36.83909788377304
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,11.108779426614197,3.348267379182857,4.313181954968568,11.314147299546411,3.7996027216670822,109.16917435419451
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.906444781989262,11.06442402759854,3.1690384539320475,6.715563500493956,12.510092637147016,11.03995326469578
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,19.12417451140048,3.816480034774616,12.365821693954134,4.060349780499212,24.544461105291482,5.169093001275317
(3S)Gal(b1-4)GlcNAc(b1-Sp0,10.004183767137963,3.743825120003165,2.903691928103484,14.713383348729373,3.2466948869837857,11.294998027002876
