IUPAC,HAA 0.1ug/ml,HAA 1ug/ml,HAA 10ug/ml,HAA 100ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,5.201475,-1.1491500000000006,5.017724999999999,16.124425000000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,9.202099999999996,3.4076250000000012,0.9257999999999996,52.81580000000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,7.573575000000003,4.6311,5.40855,12.538775
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,7.723650000000003,9.69415,6.999750000000002,17.745999999999995
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,8.286075000000002,1.8938000000000008,10.357125,14.496949999999993
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,2.8961749999999995,15.599324999999995,4.601024999999998,13.993850000000007
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,9.829050000000002,8.802249999999997,-1.0223499999999994,10.792650000000002
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,-1.36485,3.605199999999999,1.2326250000000003,3.8568250000000015
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,8.979174999999998,8.777349999999998,3.979325000000001,0.2851999999999997
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.0192750000000004,3.368275,2.636725000000001,1.6288000000000018
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,10.417875,1.47545,0.455625,-1.0636999999999972
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,-0.4909749999999984,2.5829499999999994,9.181525000000004,15.287100000000004
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,-0.9594250000000004,24.511025000000004,7.639425000000001,5.675875000000005
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,17.793999999999997,10.502025,3.808425,13.11245
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,8.524474999999999,11.639000000000005,0.9437750000000004,-9.13755
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.466375000000002,2.239325000000001,3.67095,-3.018799999999999
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.4572249999999976,17.097249999999992,9.471399999999996,0.6965749999999993
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.611399999999998,6.743125,5.277825000000002,-8.244624999999997
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.3637,9.120775000000002,7.8327,-3.7540999999999993
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,7.858075000000001,3.419274999999999,11.95635,-1.4303
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,1.4760999999999995,3.2582499999999994,5.920924999999999,6.0440000000000005
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,14.214575,12.332825,6.288549999999999,10.106575
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,1.2796999999999992,-2.693850000000001,5.479675,27.68455000000001
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,1.5197250000000009,3.4358250000000004,6.0608,12.94225
Fuc(a1-2)Gal(b1-Sp8,4.9171,13.609975000000002,10.49565,-2.7034000000000016
Fuc(a1-3)GlcNAc(b1-Sp8,7.947975,4.015799999999999,5.264549999999998,-3.0842
Fuc(a1-4)GlcNAc(b1-Sp8,2.035725,5.265725,6.7291750000000015,17.66
Fuc(b1-3)GlcNAc(b1-Sp8,0.9715249999999996,2.6963500000000007,4.142025000000001,1.3283750000000012
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,52.92315,290.451475,10447.3231,27649.440575
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,161.434975,524.954825,8380.79825,24315.7531
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,2.998625,6.353325,8.777050000000001,11.402700000000005
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,56.09907499999999,157.44684999999996,2624.362975,3285.43915
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,79.909725,494.8254749999999,11458.98365,3751.2086
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,49.48199999999999,133.102525,3693.345199999999,3793.4410250000014
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,14.902549999999998,2.933225,21.580425,10640.157600000002
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,52.29535,262.75660000000005,5462.1958,1658.7997750000006
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,146.99960000000004,645.6628749999998,11585.684,25492.0191
GalNAc(a1-3)GalNAc(b1-Sp8,186.88025,1255.4375,10471.556799999997,3862.7894750000014
GalNAc(a1-3)Gal(b1-Sp8,180.00927500000003,992.47225,14719.705975,24428.096025
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,225.135775,1502.7629000000006,13696.430225,12288.785024999996
GalNAc(b1-3)GalNAc(a1-Sp8,0.12670000000000048,4.441375000000002,12.041074999999998,-13.111125
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,11.7504,5.862450000000003,-1.3159999999999998,2537.913625
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,3.0301250000000017,12.24875,781.34235,6275.68525
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,2.601225000000001,4.074225,-0.16757500000000025,-6.500325
GalNAc(b1-4)GlcNAc(b1-Sp0,0.9174500000000004,0.06462500000000038,19.840899999999987,-10.7655
GalNAc(b1-4)GlcNAc(b1-Sp8,9.652649999999998,4.5378,10.91585,9.8925
Gal(a1-2)Gal(b1-Sp8,3.1009000000000007,5.771575,18.1737,13.415550000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,3.8303250000000006,13.353425000000005,10.52945,12.095125000000005
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,16.764899999999994,15.82645,11.433249999999996,27.11775
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.614,20.352075,9.19625,12.38355
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.562549999999997,5.96415,6.406624999999997,32.509674999999994
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,7.1289750000000005,2.7029499999999995,10.735025,16.986375000000002
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,5.53205,10.7754,1.4375749999999998,26.8007
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,1.1227500000000008,1.7156000000000002,0.2590999999999992,3.755625
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,9.719175000000002,10.70155,7.109675000000002,7.995274999999998
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,2.9163749999999986,8.364224999999998,1.9747000000000003,-25.48425000000001
Gal(a1-3)GalNAc(a1-Sp8,1.9506750000000013,1.1936,7.687874999999999,802.5694249999997
Gal(a1-3)GalNAc(a1-Sp16,10.331999999999997,3.5611999999999995,15.991324999999994,21.349425
Gal(a1-3)GalNAc(b1-Sp8,4.317425,7.220299999999997,5.329600000000001,15.863049999999998
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.205725,9.332400000000003,16.015874999999998,6.1359
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,5.945124999999997,5.0288,5.115999999999998,113.72302499999996
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,-2.86175,-2.039475000000001,12.592575000000005,-2.1785499999999995
