IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
(6S)Gal(b1-4)Glc(b1-Sp8,13.7981,9.884225,15.073675
(6S)Gal(b1-4)GlcNAc(b1-Sp8,14.273125,10.729525,12.990025
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,11.35645,10.150475,5.6633
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.833675,-0.31625,0.183675
(6S)GlcNAc(b1-Sp8,6.30085,24.137625,10.8053
"Neu5,9Ac2(a1-Sp8",11.980025,32.435,12.4005
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",5.431425,0.861725,3.866775
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,28.44395,41.00605,58.097725
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,36.286725,45.829,126.813775
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.629575,20.076425,17.3942
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,2.15475,7.530025,10.5819
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.25365,18.918375,16.73485
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.78605,8.94155,5.97135
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,6.953175,20.365175,0.47505
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,6.06125,13.1784,17.0505
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,25.705325,35.2469,23.325975
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,17.70715,6.78575,22.5489
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,12.000475,11.76305,13.2081
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,10.36325,19.42275,15.855875
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,1.615925,25.8984,17.169275
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,7.502375,11.73745,13.66575
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.152675,21.3116,12.189825
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,7.3977,0.474675,-0.8018
