IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,4.548275,-1.19995,18.26535,2307.359,16906.45318
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.57645,11.244025,59.783475,7271.810525,14431.13433
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,20.95365,3858.06145,33513.80122,37168.56957,38418.11725
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,23.906525,11.174375,57.797,1415.7464,8882.117275
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,10.7541,3.396825,14.5061,14.118625,29.102475
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,20.78985,7.073575,14.8201,30.887275,22.590425
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,16.223075,26.12875,23.159575,6.949,47.5988
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,10.28295,0.783425,1.2631,1.0412,4.387025
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,9.663975,2.372125,3.125675,27.8114,69.50795
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.127075,15.592275,26.523625,14.376225,69.887
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,13.788725,19.08095,43.5688,45.186525,163.7454
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,11.857875,2.748425,7.481175,5.1909,33.59635
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,5.656525,-1.783,1.96865,4.23415,1.360775
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,14.65885,4.60065,11.934525,6.89155,31.859825
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,8.954575,12.579575,29.739025,8.7879,144.24555
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.98815,12.225725,10.789925,9.590425,144.713175
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.09245,8.83755,9.5599,19.251025,11.016425
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.749075,5.7372,43.896025,24.825625,153.040425
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,8.750825,16.747025,19.5846,18.596975,26.950175
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,20.734575,433.41155,14195.20353,27001.02292,33437.8798
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.02985,353.2829,15441.11335,21386.90662,38479.58347
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,20.699375,16.0242,65.4486,853.614325,2026.066525
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,18.76105,250.8962,6765.36765,21793.9959,35351.79263
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,51.769375,15.020525,24.9708,13.294725,44.5441
Fuc(a1-2)Gal(b1-Sp8,16.888025,14.756975,21.7793,6.1623,38.197825
Fuc(a1-3)GlcNAc(b1-Sp8,6.979375,15.128625,4.1056,19.219975,21.608125
Fuc(a1-4)GlcNAc(b1-Sp8,5.809225,7.595575,10.09745,5.8593,2.565175
Fuc(b1-3)GlcNAc(b1-Sp8,18.513425,10.290725,2.993875,15.1242,2.701375
