IUPAC,LCA (0.1ug/ml),LCA (1ug/ml),LCA (10ug/ml),LCA (100 ug/ml)
Gal(a1-Sp8,4.912517767567535,10.11028175056625,9.42715381597224,3.9843079084285984
Glc(a1-Sp8,9.686106941043622,19.915573310582023,35.42372455563411,6.5099618961378525
Man(a1-Sp8,8.804808693880503,6.52673068363224,11.270703970471445,6.9202150838443375
GalNAc(a1-Sp8,20.223866380508625,13.3954654462807,15.102841771087318,7.858205371669358
GalNAc(a1-Sp15,5.0625129863207965,9.37667216109568,11.15726460756999,5.1293278418489345
Fuc(a1-Sp8,3.9166035906977688,8.544893067158108,7.660815424396195,8.352211036356382
Fuc(a1-Sp9,4.277945886657129,1.6657693325207643,3.513251334946021,27.82960828594551
Rha(a1-Sp8,12.052346063457248,13.611514813415635,7.522103152044639,6.12294456069409
Neu5Ac(a1-Sp8,24.004577035414876,3.9911999794339215,7.099944299018607,8.379843073858844
Neu5Ac(a1-Sp11,21.26916572215923,2.4525053481083465,15.881159720325835,8.907079720217203
Neu5Ac(b1-Sp8,8.547368196263681,10.007251221822438,5.773516433393662,14.577949362736176
Gal(b1-Sp8,7.4047021278711975,7.835775081211419,8.750128167061314,2.9893697228680542
Glc(b1-Sp8,12.980429454888355,6.432437477089592,18.46536043539813,9.840917568118336
Man(b1-Sp8,2.201228022983229,4.647520151292159,7.408014556489905,7.231722432219554
GalNAc(b1-Sp8,5.951665823602105,7.112170743814202,17.226082618130757,7.3800654671893025
GlcNAc(b1-Sp0,22.01146898314228,8.67554546810555,16.3755426929919,5.423875183160097
GlcNAc(b1-Sp8,18.596625294301827,4.144374524078791,3.3310928100499795,13.405581099272304
GlcN[Gc](b1-Sp8,46.500365696805716,5.195878265510077,14.364903451439087,9.609338444277347
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,32.86265924896118,12.861767451637428,6.357284722466017,12.31032189299562
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,11.607070445637865,15.478091236864095,6.785737909763387,14.967575220233009
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,22.470391140991893,2.7871058232510637,5.702926696808111,12.350885294686368
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.968697941390857,3.087933925647805,7.000650331219221,13.584628645979494
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.063776369763317,5.4598616578932795,9.299446958600996,2.317466385229064
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,11.305417679553788,8.796688121247675,22.970733209238233,13.166523201285884
(3S)Gal(b1-4)Glc(b1-Sp8,9.855176140316628,10.457005164123233,8.807399655734569,13.100762790641873
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,5.154687252960493,4.7559009132515255,16.174003452119287,22.03152515366711
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.97297885899721,7.496750644723799,12.840646137007024,4.498307865094013
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,12.400834584010866,7.481507145176918,5.212850998174286,8.479803272629622
(3S)Gal(b1-3)GalNAc(a1-Sp8,3.1220533119246934,6.524845212468008,2.8991961855831665,2.6389772728590697
(3S)Gal(b1-3)GlcNAc(b1-Sp0,18.766643123616085,2.9926572276991585,4.5309347056282645,14.193003375695364
(3S)Gal(b1-3)GlcNAc(b1-Sp8,6.229603766158276,5.522647912611,9.666311742162401,13.635728139584876
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,3.240479413605358,8.392671889809582,26.854928206988372,12.952158621989105
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,9.274789408345981,1.4177536207559789,8.336838238155195,12.19219938167434
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,20.806320907839524,3.5330642866120425,3.3527731699544905,8.666972876529616
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,2.4028013295249067,8.53170927203336,19.147830834936194,7.602417158323178
(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.017967973443033,4.524076070960045,4.6101898012265545,13.138276187885785
(3S)Gal(b1-4)GlcNAc(b1-Sp8,9.061563335686984,5.575828114878248,16.17325872605765,8.668658004750984
(3S)Gal(b1-Sp8,12.094700758975673,3.2720497861941933,3.0500923203240897,3.9883146281773363
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,8.370103668812394,12.973320735134337,8.070905658547048,3.5223153691854434
(4S)Gal(b1-4)GlcNAc(b1-Sp8,8.711005976875843,5.513689445598106,6.815014846829024,22.24544507195049
(6P)Man(a1-Sp8,13.692304019533491,9.924126141336918,17.639505290374952,7.242090846514338
(6S)Gal(b1-4)Glc(b1-Sp0,29.857797177231067,11.270354756432171,4.224948490810268,6.018403507229582
(6S)Gal(b1-4)Glc(b1-Sp8,5.2755298470074905,8.710356315855657,12.051614989148414,12.223653400545466
(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.758110657852784,2.86567142336078,22.59325187189015,9.803094291089929
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,23.35746281783778,5.900005557342013,10.808928751230004,23.24733263803537
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,3.7281080760442884,3.8434262193169855,8.700567274034492,15.219152371162805
(6S)GlcNAc(b1-Sp8,2.1724045126694613,7.455911046221428,10.032729962934653,8.454010068994872
