IUPAC,CTB 0.001ug/ml,CTB 0.01ug/ml,CTB 0.1ug/ml,CTB 1ug/ml,CTB 10ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,102.679325,189.14555,54.216675,27.743675,59.2711
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,83.8358,91.535225,42.398375,48.6615,55.90355
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,205.499725,157.024425,117.811775,101.86025,379.3325
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,56.2646,117.816975,131.424325,120.7959,347.2059
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,35.797075,12.08065,29.941825,71.26875,113.77085
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,47.29995,138.26005,30.6783,72.29785,72.429775
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,48.165525,77.49715,79.02235,87.28385,71.789425
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,46.32485,58.231625,42.9079,50.2999,101.2127
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,229.795925,1973.760725,16156.24038,40220.58613,43875.97523
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,50.98115,469.4142,6039.7694,37211.11063,46196.50765
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,76.267,82.6525,51.4852,73.938075,33.435675
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,94.326275,70.974775,35.5199,132.4432,76.595225
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,6.666925,52.095525,29.14135,23.67585,273.625525
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,85.834475,62.0851,96.933225,19.151825,33.009525
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,142.18795,91.2695,76.2072,98.179525,420.115475
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,73.48665,128.84965,157.365125,1238.73775,1297.83585
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,84.33435,104.43705,104.98805,152.996525,40.127175
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,93.81035,83.7897,66.7903,32.056475,132.4313
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,59.83385,90.42285,93.348725,80.0687,14.607975
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,45.743075,48.301825,65.78075,20.818325,111.8223
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,31.463775,71.472575,57.5946,66.2994,89.984725
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,45.9798,94.649325,56.649925,54.26095,266.728025
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,55.72275,100.504475,133.1769,170.128575,376.4059
Fuc(a1-2)Gal(b1-Sp8,189.961575,161.3108,26.82925,86.841525,117.9158
Fuc(a1-3)GlcNAc(b1-Sp8,17.334925,4.68225,31.57885,44.242225,73.059325
