IUPAC,SBA 0.1ug/ml,SBA 1ug/ml,SBA 10ug/ml,SBA 100ug/ml
Gal(a1-Sp8,18.021149999999995,9.176224999999988,3.5049499999999987,2.372824999999997
Glc(a1-Sp8,9.945575,9.831199999999997,8.910175000000002,18.793125
Man(a1-Sp8,13.1226,25.7511,7.3719499999999965,3.942725000000001
GalNAc(a1-Sp8,344.10945000000015,3996.146775,29269.375925,34914.868899999994
GalNAc(a1-Sp15,23.302575,1274.7145999999998,8038.15855,24224.23980000001
Fuc(a1-Sp8,15.910425000000005,8.9838,12.229499999999998,-1.0401249999999889
Fuc(a1-Sp9,16.815324999999994,8.539000000000005,-2.525549999999999,-19.409575
Rha(a1-Sp8,6.551949999999998,5.956850000000002,3.3515750000000004,-21.372825
Neu5Ac(a1-Sp8,0.6308249999999997,10.809324999999998,-8.43995,-24.036225
Neu5Ac(a1-Sp11,13.533400000000006,11.882799999999998,8.008875000000002,-15.486449999999998
Neu5Ac(b1-Sp8,7.163999999999998,10.952875000000002,5.985525000000003,1.281999999999993
Gal(b1-Sp8,17.831325,17.327199999999998,7.875975,19.771875
Glc(b1-Sp8,12.99905,15.435775000000005,5.12135,-3.6004249999999995
Man(b1-Sp8,1.189700000000001,14.844425000000005,4.537075,13.106525
GalNAc(b1-Sp8,77.421975,1875.5470750000006,17331.102899999998,27009.469000000005
GlcNAc(b1-Sp0,2.7729999999999984,3.637775,7.788125,33.605025000000005
GlcNAc(b1-Sp8,12.911825,8.573274999999997,16.592150000000004,-26.22825
GlcN[Gc](b1-Sp8,3.550600000000001,13.955825,22.5684,-25.980025
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,10.902975000000005,7.754175,3.9994499999999986,-24.236825
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,26.84595,7.1445000000000025,8.149125000000002,64.04564999999997
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,9.62435,2.5825,2.4049249999999978,-51.83047500000001
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.291825000000003,-1.4316250000000004,-2.9011750000000016,-45.44112499999999
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,10.5494,5.433075000000002,3.61505,-22.692075
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,39.29240000000001,40.76245,18.634675,-40.319924999999984
(3S)Gal(b1-4)Glc(b1-Sp8,16.233600000000006,9.738775,8.560349999999996,10.871750000000002
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,14.088549999999998,10.195724999999982,9.579725000000002,26.255949999999984
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,11.933675,10.245225,7.688425,3.43905
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.319725,7.074875000000002,19.221975,-11.015500000000005
(3S)Gal(b1-3)GalNAc(a1-Sp8,14.305875000000004,12.283100000000005,4.769525,-2.607125000000005
(3S)Gal(b1-3)GlcNAc(b1-Sp0,0.6119000000000003,0.7110749999999992,4.549074999999997,-15.4819
(3S)Gal(b1-3)GlcNAc(b1-Sp8,7.787975000000001,5.551725000000001,4.322099999999999,-14.523975
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,5.3495750000000015,16.742475000000006,8.327625,-3.8385000000000034
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,0.11037500000000032,-2.443574999999999,1.3496749999999995,-7.103700000000003
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,12.23455,0.5946250000000006,6.4595,-24.753925
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.282575,5.477774999999999,-0.6420250000000021,7.2272500000000015
(3S)Gal(b1-4)GlcNAc(b1-Sp0,1.269449999999992,12.325,1.4545749999999984,-5.035474999999963
(3S)Gal(b1-4)GlcNAc(b1-Sp8,11.924325000000005,10.398275000000003,15.399724999999998,-10.81665
(3S)Gal(b1-Sp8,10.487550000000002,3.558975000000004,5.459274999999997,9.474825
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,4.6976999999999975,11.430775,12.658225000000016,-9.516024999999997
(4S)Gal(b1-4)GlcNAc(b1-Sp8,5.8672499999999985,0.39707500000000095,16.720075,0.2737249999999989
(6P)Man(a1-Sp8,9.469725,15.571475000000007,7.854000000000001,0.8992500000000021
(6S)Gal(b1-4)Glc(b1-Sp0,11.205825,9.32895,7.354675,11.5683
(6S)Gal(b1-4)Glc(b1-Sp8,9.785200000000003,15.469324999999998,5.077549999999998,-20.440099999999994
(6S)Gal(b1-4)GlcNAc(b1-Sp8,6.1225,11.247549999999995,5.971050000000003,-85.09257499999995
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,22.89695,15.169725000000005,2.953075,-67.5923
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,7.9854,4.715724999999996,5.594725000000004,-31.005625
(6S)GlcNAc(b1-Sp8,24.45165,5.9942000000000055,5.454474999999995,-15.771875
"Neu5,9Ac2(a1-Sp8",24.76775,6.250999999999998,22.069875,-43.38097499999992
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",4.3809999999999985,5.032475000000002,1.3163750000000016,5.818799999999998
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,8.853224999999998,5.987300000000001,13.707949999999995,26.913425
