IUPAC,RPA (0.1ug/ml),RPA(EY Lab) (1ug/ml),RPA(EY Lab) (10ug/ml),RPA (100ug/ml)
Gal(a1-Sp8,2.423025000000001,25.16405,4.769475,71.17997499999998
Glc(a1-Sp8,4.038800000000002,5.2081,51.74582500000001,24.962399999999995
Man(a1-Sp8,14.367175,18.244,7.1197,24.515775
GalNAc(a1-Sp8,4.186025,-0.4605250000000014,4.806299999999999,2.200825000000001
GalNAc(a1-Sp15,10.309275,19.779,22.581450000000004,15.096875
Fuc(a1-Sp8,4.556175,12.031425000000002,10.592125,6.830425000000003
Fuc(a1-Sp9,7.858200000000001,8.050625,9.846375,2.528850000000003
Rha(a1-Sp8,1.6194500000000005,6.236624999999997,2.8041,-3.418200000000001
Neu5Ac(a1-Sp8,-0.2926000000000002,7.769525,-4.5241250000000015,3.9877000000000016
Neu5Ac(a1-Sp11,9.970975,4.272124999999999,17.816650000000006,8.899725
Neu5Ac(b1-Sp8,16.5517,9.70025,0.8874499999999994,0.6277000000000008
Gal(b1-Sp8,4.550749999999999,29.03132499999998,15.21625,11.531275
Glc(b1-Sp8,4.386975000000001,6.726699999999999,7.012824999999998,56.49002499999999
Man(b1-Sp8,9.36955,5.6612,33.51765,76.85909999999998
GalNAc(b1-Sp8,12.374725,11.442700000000002,9.943075,3.766074999999997
GlcNAc(b1-Sp0,2.0564749999999994,8.154300000000003,-0.8296250000000001,-2.2875750000000004
GlcNAc(b1-Sp8,4.058474999999998,8.932424999999997,12.146375,8.556875
GlcN[Gc](b1-Sp8,6.8874749999999985,12.621225000000004,13.770924999999995,37.412575
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.36845,7.619899999999999,5.850225000000001,0.6802000000000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,9.005349999999998,9.6344,-6.080250000000002,1.0650999999999993
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,2.885025000000001,14.122750000000005,3.8626000000000014,2.081199999999999
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,0.10662500000000064,9.170575,4.575925000000002,-1.0825749999999994
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4.031825,2.97895,-3.7117500000000008,-0.5921500000000015
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,13.337700000000002,29.791675,35.88190000000001,34.89249999999993
(3S)Gal(b1-4)Glc(b1-Sp8,5.125249999999999,20.473,9.747624999999996,21.4126
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.0143,11.003275000000002,10.589399999999998,6.387350000000001
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.850724999999995,14.101950000000002,5.4603,14.377724999999998
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.0256500000000006,3.4995,2.926825,2.3783250000000007
(3S)Gal(b1-3)GalNAc(a1-Sp8,4.363875,8.455849999999998,22.08602500000001,42.885625
(3S)Gal(b1-3)GlcNAc(b1-Sp0,5.391774999999999,6.848725,2.733274999999999,4.933425
(3S)Gal(b1-3)GlcNAc(b1-Sp8,5.152374999999998,2.8090999999999995,3.1122249999999987,19.215
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,14.51565,13.342875000000005,21.255675,14.3399
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,5.425125,2.8063750000000014,1.5684500000000003,-3.98085
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,5.391799999999999,1.2265249999999992,3.3595499999999987,-1.4364500000000016
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,5.700175,31.24632500000001,4.137750000000001,5.959074999999998
(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.7557750000000025,26.726849999999995,6.3405999999999985,-3.6873
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.1271,3.708824999999999,4.887650000000002,26.890975000000005
(3S)Gal(b1-Sp8,3.7156999999999982,10.6068,6.811624999999998,19.04314999999997
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.113800000000001,6.803925,1.0753749999999993,0.3643250000000005
(4S)Gal(b1-4)GlcNAc(b1-Sp8,6.502450000000001,6.662125,2.045875000000001,-0.009474999999998346
(6P)Man(a1-Sp8,5.5175,18.009349999999994,12.73065,23.7456
(6S)Gal(b1-4)Glc(b1-Sp0,3.0609,12.141649999999998,10.289074999999997,18.8845
(6S)Gal(b1-4)Glc(b1-Sp8,5.431725000000003,12.030599999999994,8.187899999999997,-2.3519000000000023
(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.5128,2.8926750000000023,-2.190175000000001,6.322049999999997
