IUPAC,PTL-I (0.1ug/ml),PTL-I (1ug/ml),PTL-I (10ug/ml),PTL-I (100ug/ml)
Gal(a1-Sp8,10.081925000000004,7.601275000000001,14.561375,1.3434749999999998
Glc(a1-Sp8,14.162350000000002,12.7754,10.436674999999996,1.3730250000000002
Man(a1-Sp8,14.163675,11.893275,9.152375,25.337625
GalNAc(a1-Sp8,10.5933,13.465649999999998,133.2504,2797.05925
GalNAc(a1-Sp15,24.5779,23.842725,41.01927499999999,430.13610000000006
Fuc(a1-Sp8,12.298025,5.825799999999997,3.790625,9.754324999999998
Fuc(a1-Sp9,7.49025,3.7346000000000017,9.664650000000004,10.197100000000002
Rha(a1-Sp8,4.884699999999999,8.0856,3.829550000000001,10.277024999999998
Neu5Ac(a1-Sp8,16.467275,16.234175,18.466625,9.020425000000008
Neu5Ac(a1-Sp11,22.6234,5.278875000000003,1.5657000000000014,18.647275000000004
Neu5Ac(b1-Sp8,1.1824750000000035,8.593950000000003,20.781175,14.830725
Gal(b1-Sp8,32.219325,13.088250000000002,19.106900000000003,41.993125
Glc(b1-Sp8,15.035299999999998,1.3999749999999995,17.590825000000002,19.243775000000007
Man(b1-Sp8,13.584349999999995,10.045650000000002,10.9942,10.6351
GalNAc(b1-Sp8,5.041624999999998,7.4038249999999985,10.7259,14.098425
GlcNAc(b1-Sp0,14.707575,15.392550000000005,19.938350000000003,1.0291500000000011
GlcNAc(b1-Sp8,5.288175000000002,3.9717249999999993,5.488925000000003,19.827450000000006
GlcN[Gc](b1-Sp8,14.947374999999996,6.509624999999996,20.84545,8.63525
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.958875,25.286000000000005,17.963399999999996,31.86855000000001
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,36.877375,16.089875000000006,19.555100000000003,35.56072500000001
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,20.396725,20.016825,11.7775,18.39515
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,24.634425,14.352575,1.171149999999999,22.176724999999994
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,6.919375,13.9178,10.177725,3.4409750000000017
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,57.142125,43.821875,68.9101,104.68455000000004
(3S)Gal(b1-4)Glc(b1-Sp8,2.9324249999999994,4.792999999999998,12.312699999999996,8.6707
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,14.372149999999998,9.954700000000004,8.915150000000002,2.231299999999999
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,23.524325,4.1142,12.569550000000005,15.822299999999998
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,12.138600000000002,11.106275000000002,14.70625,4.95105
(3S)Gal(b1-3)GalNAc(a1-Sp8,8.3969,7.391499999999999,8.837149999999998,19.911075
(3S)Gal(b1-3)GlcNAc(b1-Sp0,8.904899999999998,-3.665575000000002,8.785499999999999,10.51965
(3S)Gal(b1-3)GlcNAc(b1-Sp8,7.782850000000002,6.5360749999999985,4.900975000000002,7.9934499999999975
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,9.318350000000004,3.8790750000000016,13.172825000000005,16.8069
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,8.687124999999998,17.0989,9.592199999999997,13.155675000000002
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,13.8739,16.6296,16.0098,15.009850000000002
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,-4.946049999999998,8.310749999999999,13.263825000000004,3.673575000000003
(3S)Gal(b1-4)GlcNAc(b1-Sp0,8.020375000000001,6.461800000000004,9.042575,6.836024999999999
(3S)Gal(b1-4)GlcNAc(b1-Sp8,9.236800000000002,7.4296250000000015,8.996050000000002,10.678350000000002
(3S)Gal(b1-Sp8,6.34665,5.091650000000001,10.51815,1.0395999999999983
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,10.972224999999998,16.947325,4.163450000000003,5.795124999999999
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.321724999999999,8.477150000000005,3.740425,10.016799999999996
(6P)Man(a1-Sp8,10.96352500000001,2.9853749999999994,12.43025,28.401775
(6S)Gal(b1-4)Glc(b1-Sp0,13.700174999999994,15.088275000000005,2.791825,29.712575000000005
(6S)Gal(b1-4)Glc(b1-Sp8,13.581099999999996,37.92889999999999,18.069250000000004,9.299450000000009
(6S)Gal(b1-4)GlcNAc(b1-Sp8,16.801575,0.8442499999999953,12.135225000000002,13.158549999999998
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.272299999999999,21.9278,6.244674999999999,16.470924999999994
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,13.947224999999996,26.262750000000004,18.21935,15.151550000000006
(6S)GlcNAc(b1-Sp8,7.9739499999999985,7.2035750000000025,1.9753499999999968,1.5328750000000024
"Neu5,9Ac2(a1-Sp8",27.70342500000001,3.4757250000000006,12.276875,15.202299999999996
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",-2.4198249999999994,8.418350000000002,2.194675,4.823224999999997
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,20.951425,1.917724999999999,15.6217,14.626074999999995
