IUPAC,MOA (0.1ug/ml),MOA (1ug/ml),MOA (10ug/ml)
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,19.17475563,5.113890201,7.887894703
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,9.933852911,6.053605414,1.248917643
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,6.204517552,11.44055453,5.235289953
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,3.332630095,21.48189281,8.951942633
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,9.800753773,7.744952717,8.786860812
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,3.003605315,11.99791629,4.95680474
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,1.780593674,4.995964338,3.40412957
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,7.179396179,9.46151107,3.984422421
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,13.09450427,4.159150045,15.79652224
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,5.215736249,12.20408833,5.880805797
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,7.74765922,20.80451729,4.819738322
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.02206989,15.21570096,3.444601217
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.51352356,7.474548557,3.845461546
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,5.719720143,14.67912698,1.51323451
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,10.80065632,5.304676244,2.625040912
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,2.836673494,5.016800427,16.28829267
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,4.670162333,6.344221134,7.799236565
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,4.619969338,6.936364053,4.968552466
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,4.69505692,9.529117997,3.176497381
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,3.689785141,9.177690188,3.957338242
Fuc(a1-2)Gal(b1-Sp8,5.539600801,16.07715391,4.03552178
Fuc(a1-3)GlcNAc(b1-Sp8,7.282644321,15.93911136,1.104468604
Fuc(a1-4)GlcNAc(b1-Sp8,10.52031165,6.723214765,33.43098184
Fuc(b1-3)GlcNAc(b1-Sp8,4.179775028,11.98390231,4.869812876
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,9.879721792,15.56545001,9.476289324
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,19.56096615,18.17905425,7.954844077
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,7.059085773,13.21651188,6.601216517
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,8.509885952,16.18750497,2.796421521
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,8.020162429,3.941205124,14.14823714
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,4.061581413,6.542641029,4.212052676
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,5.601471033,7.144445222,8.138444767
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.320862964,2.38621566,10.88176696
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,4.471827431,12.26900087,6.568722311
GalNAc(a1-3)GalNAc(b1-Sp8,3.225779041,3.307831419,4.982396057
GalNAc(a1-3)Gal(b1-Sp8,4.40560986,6.170375763,18.10520994
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,9.324836987,8.156827371,4.774042479
GalNAc(b1-3)GalNAc(a1-Sp8,6.890688109,2.091996362,9.990280702
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,7.046720836,7.554660731,9.874890154
GalNAc(b1-3)Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,13.45482153,10.24136479,6.365944632
GalNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,11.26807741,15.49401828,15.52481035
GalNAc(b1-4)GlcNAc(b1-Sp0,12.10935062,16.93898631,15.00473458
GalNAc(b1-4)GlcNAc(b1-Sp8,13.2942533,21.50555108,8.985438016
Gal(a1-2)Gal(b1-Sp8,3.220234067,3.379091466,11.77743982
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,109.5871109,283.6763051,1161.874004
Gal(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp8,44.33299667,107.7724438,463.9339022
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,14.72662212,16.63979114,16.55394217
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,5.2102159,11.27962591,24.83179223
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(a1-Sp0,134.2181429,1601.907698,1352.278073
Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,115.0844357,502.2588865,5481.611069
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,148.1811519,1996.138039,4952.68086
Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,285.0219752,432.4233884,1147.475693
Gal(a1-4)[Gal(a1-3)]Gal(b1-4)GlcNAc(b1-Sp8,13.82789662,16.09251979,8.714693137
Gal(a1-3)GalNAc(a1-Sp8,19.17624582,228.2921492,472.772125
Gal(a1-3)GalNAc(a1-Sp16,4.470534338,29.83149648,13.58575202
Gal(a1-3)GalNAc(b1-Sp8,29.92847024,682.2776851,1655.659682
Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,14.32298733,7.181746098,16.14805046
Gal(a1-3)Gal(b1-3)GlcNAc(b1-Sp0,25.14286111,100.5766434,1487.069598
Gal(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,114.2936729,129.9856005,1618.129702
Gal(a1-3)Gal(b1-4)Glc(b1-Sp0,11.065391,743.7921864,9077.734458
Gal(a1-3)Gal(b1-4)Glc(a1-Sp10,30.08348493,15.11494281,7522.752565
Gal(a1-3)Gal(b1-Sp8,32.9263263,259.2923808,17144.06814
Gal(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,10.87199514,7.32674237,14.5366443
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp0,6.390151631,5.999343253,5.21673088
Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp8,20.1284529,9.75557206,38.87582829
Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,15.95567755,45.93257185,12.87621235
Gal(a1-4)GlcNAc(b1-Sp8,6.353669679,3.937924948,7.669763856
