IUPAC,WGA 0.01ug,WGA 0.1ug/ml,WGA 1ug/ml,WGA 10ug/ml,WGA 100ug/ml
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.970107436,13.4294766,134.3129626,2095.456857,1387.258605
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.336535214,1.301115013,9.575178089,172.7551876,1109.372626
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,10.9959689,10.3765555,21.51257876,782.9550377,788.4047574
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,11.3936132,581.6985007,2622.255408,7733.603582,2449.505049
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,15.23302955,4.032074827,8.932660687,206.2726354,546.6253555
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,20.94993961,4.312168553,8.201897786,5.356388637,3.656390671
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,16.71983855,9.155228533,8.644142446,17.60723173,14.67609539
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,9.892179629,12.0595859,9.256324005,12.27454644,24.25674292
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,6.494771395,2.107786883,4.408588572,10.90959674,3.377770366
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,8.572157146,2.894327443,1.749041304,8.445058846,17.54835732
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,1.26252118,9.35891069,6.898398265,10.83580056,42.33088542
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,10.58201642,12.40154615,22.92252793,25.46924724,114.2389942
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,16.27878384,1.428435497,13.33414638,6.516799642,21.93497827
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,8.518265772,10.24661952,10.53092376,7.816477782,6.925127016
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,10.33703311,10.29382521,2.291509397,11.34260017,14.20984196
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,9.593740067,7.553921486,21.12454239,2.850880632,157.895197
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,8.34779361,11.49284005,10.51764887,6.166383746,79.84034586
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,7.789448811,12.03002711,3.020187586,12.13184617,7.223587361
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,3.145888885,3.755389547,6.068617401,11.60286201,24.85235958
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,7.31874873,6.099313463,10.53396266,11.48616321,22.62688883
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,6.238547931,39.71446115,1307.969911,1860.111082,1024.946754
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,17.19536206,18.07513898,1097.788762,1127.792581,3110.521774
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,10.50824854,10.93306997,15.62679701,101.4325001,176.4686901
