IUPAC,CF-05/27/2011 (0.1ug/ml),CF-(05/27/2011) (1ug/ml),CF-05/27/2011 (10ug/ml),CF-(05/27/2011) (100ug/ml)
Gal(a1-Sp8,27.83966813492032,29.43761153540089,175.80554067291197,1007.8147018830052
Glc(a1-Sp8,12.188473621794007,11.426085956376276,119.14135581491337,98.76809404837748
Man(a1-Sp8,39.26550304397814,44.36368397645193,317.50369737662936,40.52160863945516
GalNAc(a1-Sp8,179.80216987021183,980.1420150995945,2370.288747314052,2683.366928417844
GalNAc(a1-Sp15,369.4816899106417,2372.627794464953,2326.969513821157,12877.648640081776
Fuc(a1-Sp8,5.175290166422372,12.836275728055488,49.35380000657671,25.335197631408
Fuc(a1-Sp9,10.22477728539012,16.608238407689928,69.70911728434466,11.6787216786199
Rha(a1-Sp8,47.00531116054842,22.02886217463732,28.76752978497037,59.794456105701066
Neu5Ac(a1-Sp8,13.018732121927235,392.922428295776,16.40022517393691,88.3042335781247
Neu5Ac(a1-Sp11,16.428287815837656,33.46044823120775,47.485980043051995,30.579749031821137
Neu5Ac(b1-Sp8,26.81819752448877,24.47432508328885,27.89591090493072,206.05553690042385
Gal(b1-Sp8,24.231238721173572,12.33591182550633,250.8449355750411,163.89145994497653
Glc(b1-Sp8,24.549426882159253,17.417509218886675,118.57973191995977,44.1640160304366
Man(b1-Sp8,126.43066712039922,20.670017323085816,126.84536521624969,115.56913661736168
GalNAc(b1-Sp8,57.570403293416824,145.95133532504073,2047.151005535478,1466.3172002169913
GlcNAc(b1-Sp0,35.24117712345411,15.769747867779381,2126.2238599855355,2400.92948191506
GlcNAc(b1-Sp8,18.72825460127022,14.133459327750115,950.2335419559796,1449.3881223883184
GlcN[Gc](b1-Sp8,51.04537533139003,18.656016315566184,114.80778075526699,57.41375338427206
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,25.633433961722712,7.868579008255987,53.70800236296234,46.34187641568502
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,51.127701667385466,8.845756237644801,294.83203636019607,98.8425644136001
