IUPAC,LTL (0.1ug/ml),LTL (1ug/ml),LTL (10ug/ml),LTL (100ug/ml)
Gal(a1-Sp8,9.721956382462329,1.7418755533428103,8.953834339311472,7.553577271730276
Glc(a1-Sp8,9.818553698143814,4.185060016296085,1.8619068693143368,8.168302044029723
Man(a1-Sp8,10.064342944276095,13.409317232680662,9.265102708191264,20.333849664926536
GalNAc(a1-Sp8,5.221712915238325,9.657304634791565,7.2370645897813235,21.631943473079357
GalNAc(a1-Sp15,4.294824939680314,16.181229423901932,9.943902157394401,33.049129838406266
Fuc(a1-Sp8,9.832672598154586,5.459341370760764,4.961572728732287,15.186891128206641
Fuc(a1-Sp9,22.504019352754888,5.5944744829161595,9.421521147351962,20.339468911679273
Rha(a1-Sp8,8.446478485538618,7.912688386172342,8.156212525839829,8.505754987213082
Neu5Ac(a1-Sp8,17.99052203807607,8.536377581074268,1.3278961439686057,10.117464398092393
Neu5Ac(a1-Sp11,19.926666104828808,6.255658633789089,5.333414466283907,7.918450410012895
Neu5Ac(b1-Sp8,10.228831237365293,9.669233652285998,9.02285952433226,14.097982780850835
Gal(b1-Sp8,13.04098057944009,7.113357639153263,24.22654549543743,7.839017914254312
Glc(b1-Sp8,9.536293262540042,6.125027299735078,6.444830873395105,20.683469075790136
Man(b1-Sp8,9.760786526539077,8.638731348747534,2.3572549676477554,7.137383988315801
GalNAc(b1-Sp8,13.621439372639735,2.1986560842175056,6.097408560199982,7.473131157854786
GlcNAc(b1-Sp0,11.885063958985105,3.9344531115094856,4.807375004008599,6.1703263176809875
GlcNAc(b1-Sp8,14.05996621863533,7.391468520474592,2.778456744909546,6.059988120656676
GlcN[Gc](b1-Sp8,25.26282489870244,12.852180139960687,8.184027908065811,4.762708644248566
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,8.128752601055504,4.2104592516731545,11.321820145887914,27.05363000959084
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,24.08832392384327,12.738776093585287,16.49419072105389,16.63238178544093
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,10.541855784561838,12.946831220160925,7.902219733931306,3.542896140518384
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.868294419225683,4.867530403945452,0.8415377447466857,5.642206669011098
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,9.559237447751777,7.2125087577069875,11.622668502829564,7.381377977665602
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,16.13701743102371,23.758795294146672,51.760702493236465,42.20753981399534
(3S)Gal(b1-4)Glc(b1-Sp8,9.201740376508496,3.04759104977472,2.053062467794556,4.104938448888927
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,7.6173698419576965,10.560212323741403,9.47685445858312,8.85622720928613
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.484725851778424,8.147828427818464,3.2121697552692803,8.091664763765651
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,2.8726539332122965,11.79529078640427,1.6671745599466574,3.93598410438864
(3S)Gal(b1-3)GalNAc(a1-Sp8,5.666430050746237,9.694296286992676,9.436183003736195,9.209241301495283
(3S)Gal(b1-3)GlcNAc(b1-Sp0,8.586493834845124,13.229629115077273,8.115689853764739,15.399513522511025
(3S)Gal(b1-3)GlcNAc(b1-Sp8,3.5726324452938996,20.160466376467248,10.108459001747006,11.53284938223566
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,4.199342330651312,19.775417004010308,6.758915442830548,12.408670721280613
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,16.015251498181353,16.655679148041365,8.930569671405815,13.081287835301225
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.670978043955364,4.698679405251365,15.01177144388141,6.5100607582290175
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,4.843860016815102,4.1783165249296275,3.317395922507096,15.992380916236328
(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.116636225163276,13.209102981656251,7.356336451148768,6.5782132171281855
(3S)Gal(b1-4)GlcNAc(b1-Sp8,3.206285495709951,6.398537495592251,14.026352520493946,12.497638843230874
(3S)Gal(b1-Sp8,2.491364705504461,5.147383629492423,1.0855516059435757,15.947287705724973
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,0.6900189997384594,2.8293833721619754,7.398410131237652,13.341648959898727
(4S)Gal(b1-4)GlcNAc(b1-Sp8,6.004528475797804,10.394757021811524,4.339380120382018,19.78034729700164
(6P)Man(a1-Sp8,12.212383451508007,11.678390882701555,10.222940833365907,24.013106262674583
(6S)Gal(b1-4)Glc(b1-Sp0,5.421494911538083,9.375397343535203,4.882604548803865,9.38225579662663
(6S)Gal(b1-4)Glc(b1-Sp8,7.97632897808676,2.029888721703736,17.116319088421633,11.574594317836805
(6S)Gal(b1-4)GlcNAc(b1-Sp8,8.128355687960513,9.834061462547735,8.472673337658351,13.610305311876733
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,19.66647696157093,6.7848552582817385,7.606109194314352,18.444595149867073
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,9.091027974510553,18.2646774617703,75.31708819369331,705.8816570222438
(6S)GlcNAc(b1-Sp8,5.976000100401603,2.3822071297783167,4.074421965853968,8.199863989268358
