IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,8.625548861,12.44364027,7.978777557999999,5.613724454,4.505727523
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,10.22724949,32.2478051,56.22673847,183.5850535,674.7665906000002
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.0206171379999995,5.215127671,2.793608939,4.4857472110000005,5.447081353
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,7.2507212710000015,19.48061727,12.42811048,11.65753233,19.20053853
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,4.86706809,11.32061127,11.58881927,26.46962786,18.63808141
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,18.8116556,8.916741400000003,10.78185863,4.094744341,2.673888358
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,6.817127295,9.20867764,10.95238425,13.45919187,15.9451577
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,3.303308117,5.121970698,4.364057657,8.597414599999999,4.379350006
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.2051389939999995,3.838861801,18.41846558,9.309247722,9.05203561
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,2.075058196,4.097574659,5.250506323,4.97338972,5.185879002
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,5.00172523,8.423927506,4.488151605,11.10172884,13.2152011
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,12.43350293,10.44282825,8.749634907,7.38167989,3.884276915
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,5.351966829,0.908152602,7.10965316,9.800932269,9.941050403
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,6.5618419370000005,5.247515636,7.737725022,4.998849861,13.52703092
