IUPAC,Gal-3C (0.5ug/ml),Gal-3C (2ug/ml),Gal-3C (5ug/ml),Gal-3C (20ug/ml),Gal-3C (50ug/ml)
Gal(a1-Sp8,3.8990611967284132,4.530573734822837,22.478744784258584,2.318890597354674,19.57824451074456
Glc(a1-Sp8,14.569675005841182,3.625259724028942,12.191083594270856,7.857665468137921,10.827906363766763
Man(a1-Sp8,3.9543639871034846,7.1573182111621945,23.34141501808893,11.743437892996536,17.396199210627405
GalNAc(a1-Sp8,18.44535814044191,6.373996109388531,15.928110489634365,7.488399115242633,3.8215749920679816
GalNAc(a1-Sp15,15.055412572006595,7.698973739564266,6.820305843765402,9.913930826703737,2.7844798692933965
Fuc(a1-Sp8,15.354028503403704,8.601347867437209,16.31126991142422,16.083364738345853,12.387774415224873
Fuc(a1-Sp9,25.72861456723175,32.81435696351773,14.572986748633342,17.493550395121762,12.991869839088901
Rha(a1-Sp8,19.459713411109124,9.843250455515195,9.114780034098466,7.2708420220196155,12.986550504367974
Neu5Ac(a1-Sp8,6.074827713537798,9.0799253679018,11.767386885654199,10.125059003079109,9.440289647745619
Neu5Ac(a1-Sp11,7.158341701120441,12.172142872833293,15.133316631745556,6.440883997493413,9.015151351428699
Neu5Ac(b1-Sp8,4.772279904039569,4.371697492107604,5.402008415009488,5.4319220054538135,10.161631223053382
Gal(b1-Sp8,9.74139259893917,23.31847038508316,9.742111741087411,10.781612107194373,37.46074175062032
Glc(b1-Sp8,12.641652635467922,11.47037457016988,9.59140721792167,4.041315414874187,19.500631764210453
Man(b1-Sp8,4.7432986597760864,14.473774894701785,5.2230602832534485,15.015166826995285,3.751713310831031
GalNAc(b1-Sp8,4.988933124677083,18.83652773814752,9.911713091548144,8.02061962049487,15.95828005519392
GlcNAc(b1-Sp0,10.089012446716467,8.045531431121661,8.539421436686071,3.564860895836856,18.281335512005136
GlcNAc(b1-Sp8,17.66802090840963,3.6119284446354434,12.471489507405842,7.8580158914321405,13.672668157891984
GlcN[Gc](b1-Sp8,3.052515769410534,8.31905444241311,7.163841803750754,18.173031113530115,9.762500208237286
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,7.597778130644535,9.937455731557591,5.6161001026067865,4.694980437570221,15.04702316149282
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,20.03271373834561,7.417840997835333,5.711507185206579,7.652151582833843,33.91022232104208
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,7.631212375501031,9.219471842202594,2.765502263453543,7.197964057692549,7.5496637375448925
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,9.382165449893039,2.452549328589836,11.719278265995461,9.498241468643897,8.331607067617085
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,12.979310135846974,1.737459177458083,12.50359063665981,4.0418420135502435,7.686061736838957
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,20.65085520446631,7.120368709729875,30.33946944960199,12.930815687953801,18.198607043672453
(3S)Gal(b1-4)Glc(b1-Sp8,10.094373434864623,12.979815431661565,19.183928088897733,12.252438713544608,11.849477813353893
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,9.269409592264582,3.7442830261613382,15.526949525904973,12.175282357403487,4.7645044033106725
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,5.260860990053518,5.4540205178534285,3.8120279856440327,5.930333211830006,15.027631629185588
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,7.9606602173856675,9.080659295218249,16.007050402765213,11.41728463584198,11.639536865750575
(3S)Gal(b1-3)GalNAc(a1-Sp8,4.3123680697694216,11.307529513669206,8.850660727265867,5.811038647551202,10.332810367304075
(3S)Gal(b1-3)GlcNAc(b1-Sp0,8.004364963776528,11.336761516853047,17.85559190568882,11.737356348144724,39.07126102431289
(3S)Gal(b1-3)GlcNAc(b1-Sp8,22.880518147450967,4.410650712668962,20.385611650602172,52.85801041812398,26.916863315200004
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,14.221931381379465,8.216967667525946,10.484621228693332,6.151934543702452,17.488898655623416
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,3.2534787566541823,8.329683678267742,0.9617690830789496,11.320984438164663,5.171637335183823
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,7.628482921863728,26.1750504948733,12.636956840553037,18.588310894932924,133.82169413786778
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,13.569028248551927,18.356977693214247,6.560193958768867,114.28182172058594,81.76062542354332
(3S)Gal(b1-4)GlcNAc(b1-Sp0,14.69536853419585,8.830619073806021,17.284318806435515,11.872898486995435,15.771548985515244
(3S)Gal(b1-4)GlcNAc(b1-Sp8,12.705593489745633,7.036913985074222,14.642634735934653,23.017109781566052,45.0942374324684
(3S)Gal(b1-Sp8,10.74380820519429,11.559544330516086,12.83593569044216,15.389760440630655,12.038305237137813
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,14.462572123329243,3.1110697371107765,8.260629609327601,4.138894154541768,5.036505493891559
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.224381802099052,9.308493304683275,3.5099144016153248,6.195828548574696,10.205670471972915
(6P)Man(a1-Sp8,16.985103382547695,14.107724207061185,6.917845787707323,1.4815013421075944,21.87265173595784
