IUPAC,AOL (Mahal Lab) (0.1ug/ml),AOL (Mahal Lab) (1ug/ml),AOL (Mahal Lab) (10ug/ml),AOL (100ug/ml)
Gal(a1-Sp8,10.980845187378213,5.537205209911096,4.228802300888477,22.79460593596293
Glc(a1-Sp8,19.810646795263096,11.663695200457125,13.767011587456699,40.20390518059172
Man(a1-Sp8,14.902070339050255,14.107516311645124,23.411348521372233,8.614574623083007
GalNAc(a1-Sp8,18.612999586915084,17.920766753034478,18.740714689858198,15.89296879388282
GalNAc(a1-Sp15,17.688378657445327,15.559753635447864,17.821736850729962,16.71075981815298
Fuc(a1-Sp8,203.47248670711159,455.38099104751154,518.506764829919,594.9689629978452
Fuc(a1-Sp9,82.57675533047781,353.0236421576428,646.2272775272986,4264.372378525562
Rha(a1-Sp8,5.677892130814668,11.419256773392329,12.739258865543704,4.831610208477676
Neu5Ac(a1-Sp8,18.529157393393948,11.123344231240333,25.89949052227345,81.61103407675128
Neu5Ac(a1-Sp11,49.1106040887556,13.61772494202562,5.8723523329667175,9.778939420126296
Neu5Ac(b1-Sp8,16.904985257215298,12.927860670756829,13.116679211472182,26.21637206204997
Gal(b1-Sp8,13.599403531864894,21.510140583978067,16.012243485741365,11.246811002087062
Glc(b1-Sp8,7.397638927838187,24.667294357019234,11.807602018579686,14.736331072641544
Man(b1-Sp8,20.99848775713782,16.549903734765348,20.05050077834716,19.736808033553267
GalNAc(b1-Sp8,7.855607686816249,22.523622267947196,28.9327152505026,14.73413240684711
GlcNAc(b1-Sp0,10.11493835357719,24.605026678167466,13.944110573852804,15.776833742442319
GlcNAc(b1-Sp8,10.603523607862623,19.110228787811526,4.311982132287495,23.767102163477322
GlcN[Gc](b1-Sp8,17.89276450654472,11.3689017706197,5.48960998455264,13.018068886743514
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,13.623294264206706,1.8656279345035536,12.656686013164466,20.00902360719617
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,6.5965989077073655,10.788561049672001,8.03655478646372,14.78626992347968
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,19.890642075860697,18.828709971100864,14.467836697625758,20.933994508195678
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,17.31076843181723,16.211378519705438,12.55608406311457,6.893005256780242
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,13.137782993336424,19.43186999047354,5.131841087027151,43.11884587946046
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,148.4772584702541,370.0575578330625,430.29320564235223,206.10430214639115
(3S)Gal(b1-4)Glc(b1-Sp8,13.696002799935222,14.330301136025252,9.653975422937066,11.18700141455107
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,12.90073955383307,8.47571872522718,9.084618699391507,23.509429289400764
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,20.455686923098767,18.469649389809735,10.21028230669946,7.769645240292482
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,84.62527748608176,559.6267670122521,977.283752430233,850.8043825065688
(3S)Gal(b1-3)GalNAc(a1-Sp8,19.69475678810226,11.415582310267816,8.317104528370018,20.616119328816442
(3S)Gal(b1-3)GlcNAc(b1-Sp0,11.301612169508855,10.521011870973583,12.235169340607145,15.303824894314092
(3S)Gal(b1-3)GlcNAc(b1-Sp8,98.10302699225184,15.657523860112748,22.528823403364854,1379.3207110636733
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,213.7982955363456,671.0257042292201,1552.4310041826136,335.3249458252462
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,63.138958356866205,718.6061770683104,579.9996193473488,624.8239518562604
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,16.330971970742162,17.530065392609554,12.411798467184347,9.96118821392967
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,6.3290017908961484,9.323423227727755,9.330026908276661,19.19437523657647
(3S)Gal(b1-4)GlcNAc(b1-Sp0,13.589168325790473,13.185333369316044,13.089454508210034,9.000350593680617
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.0075447931578605,9.306001707634703,8.450498867128106,22.075371901887998
(3S)Gal(b1-Sp8,5.772718952105678,5.532293674116248,5.902456282769066,23.20154604739016
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,12.873535652389107,6.479070275060044,12.60617024222001,4.374025701322906
(4S)Gal(b1-4)GlcNAc(b1-Sp8,18.081910459604828,0.6079693714872684,5.882285049975593,12.131356354093313
(6P)Man(a1-Sp8,9.665730827473253,12.828103550245993,23.84788150945836,19.40307354596176
(6S)Gal(b1-4)Glc(b1-Sp0,5.528142672649344,3.857772500960459,12.75374589218792,13.318048404671266
(6S)Gal(b1-4)Glc(b1-Sp8,15.412188329019573,8.247636672607094,5.4412642418834505,23.955881423062554
(6S)Gal(b1-4)GlcNAc(b1-Sp8,17.590087819185758,3.664784267411477,1.3868028518863011,9.798262808103619
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,5.849514525938598,14.433409734911342,28.78837581112384,11.406756221643413
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,138.43976818258042,615.8227499889316,910.1376814715137,615.8065462438268
(6S)GlcNAc(b1-Sp8,26.272770373192486,18.684781441300462,19.26127755973973,30.833968384397092
