IUPAC,TJA-I 0.1ug/ml,TJA-I 1ug/ml,TJA-I 10ug/ml,TJA-I 100ug/ml
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,7.897300000000001,-0.7306249999999981,14.221000000000005,26.828475
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,12.653099999999995,5.112024999999999,6.632950000000003,6.5001250000000015
Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,11.323825,-0.7553750000000008,5.904349999999997,11.457875
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,33.560975,1090.3769,8006.536675000001,22167.0213
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,85.78987500000002,1833.48155,12441.798250000002,28384.092900000003
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,31.528949999999995,796.92755,6938.247024999999,20719.314075
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,23.49395,1157.1292,10309.9417,23386.0856
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,7.2548499999999985,18.428799999999995,15.821600000000005,8.904500000000006
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,5.452175000000004,39.75149999999999,131.90349999999998,2169.110075
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,14.311350000000004,10.429475,5.505099999999999,40.08732499999999
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,23.47917500000001,57.094225,100.3597,400.922525
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,10.167125,27.090325,19.801375,435.751625
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.6259,22.912475,8.859100000000002,15.136000000000005
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,-0.5158499999999995,17.194199999999995,13.500249999999996,324.483825
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,14.496000000000004,13.391625,20.353675000000006,5.0669
