IUPAC,ACL(Vector) (0.01ug/ml),ACL (0.1ug/ml),ACL(Vector) (0.3ug/ml),ACL (1ug/ml),ACL (10ug/ml),ACL (100ug/ml)
Gal(a1-Sp8,23.78885,17.977625000000003,30.830025,18.32345,6.341799999999999,9.796375000000003
Glc(a1-Sp8,12.890575000000002,5.139750000000003,11.314450000000004,21.9844,9.937825,10.17615
Man(a1-Sp8,16.848350000000003,27.330424999999995,39.32407499999999,20.1032,36.01457499999998,10.208625000000003
GalNAc(a1-Sp8,23.722325000000005,8.492475,12.803025000000005,8.762900000000004,24.636675,2519.7155
GalNAc(a1-Sp15,30.6839,16.4842,37.740675,36.34662500000001,14.684925000000005,9.589875
Fuc(a1-Sp8,14.257800000000005,1.3806499999999993,13.877974999999998,27.1805,-0.28505,-20.44065
Fuc(a1-Sp9,4.571499999999999,0.1367750000000001,10.440525,6.749875000000001,17.37565,-2.8578499999999987
Rha(a1-Sp8,6.563274999999999,4.3507750000000005,21.378225,8.605225000000004,0.6556250000000006,-4.987399999999997
Neu5Ac(a1-Sp8,14.040274999999998,4.190674999999997,27.233125,17.938975000000006,19.487224999999995,-6.919424999999998
Neu5Ac(a1-Sp11,15.921774999999995,-7.421025,29.302624999999995,4.704799999999999,9.94325,-4.256824999999996
Neu5Ac(b1-Sp8,17.334699999999998,1.417424999999998,23.825075,12.342675000000005,5.695350000000001,-4.550449999999991
Gal(b1-Sp8,22.80435,14.275625,32.369474999999994,14.548799999999995,29.50685,22.56515000000001
Glc(b1-Sp8,34.5248,6.450225000000001,17.805099999999996,8.426700000000002,15.665025000000002,10.265625
Man(b1-Sp8,9.86995,0.689524999999998,8.2725,8.410325000000002,18.65915,4.7299250000000015
GalNAc(b1-Sp8,21.211875,10.78545,49.20537499999999,2.3611249999999995,9.141924999999997,6.913050000000004
GlcNAc(b1-Sp0,15.924375,0.011200000000002321,39.674625,20.16045,13.344925,-6.536875
GlcNAc(b1-Sp8,12.211875,4.874925000000003,6.551825000000003,0.4177249999999999,5.775324999999999,-1.5198250000000009
GlcN[Gc](b1-Sp8,5.7557750000000025,3.637425,17.8698,3.5903000000000014,-1.1083499999999995,0.8389999999999986
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,13.583725,-3.895000000000005,11.040925,1.1558249999999983,3.5481750000000005,-9.921974999999996
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,12.231325000000005,8.10015,19.690025,3.709825,6.352725,37.00545
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,1.4902499999999979,22.6341,8.988125,5.5230250000000005,1.6899500000000014,0.3160750000000121
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,19.4539,-8.393299999999996,11.777275,-1.0766500000000008,-4.531775000000001,-16.465999999999994
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,20.1722,-3.001149999999998,12.412849999999995,7.6531,0.4488250000000029,-15.545050000000005
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,41.140025,84.7264,42.57422500000001,17.056675000000002,10.755750000000004,180.3967
(3S)Gal(b1-4)Glc(b1-Sp8,15.480249999999995,5.66155,9.568324999999998,2.903674999999998,10.341875,-2.3789750000000005
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,6.352875000000001,6.5977,26.588100000000004,-2.041174999999999,12.2845,4.9424500000000045
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,6.663074999999999,5.8154,12.938625000000002,12.831074999999998,1.8007500000000007,-6.0775
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,9.303699999999996,-8.519800000000002,14.861575000000002,5.943425000000002,3.9155,9.135625
(3S)Gal(b1-3)GalNAc(a1-Sp8,624.9001000000002,6245.896075000002,7700.045324999999,22701.1514,31769.939050000008,38800.56079999999
(3S)Gal(b1-3)GlcNAc(b1-Sp0,9.6176,-4.81635,4.412800000000002,-0.5090750000000002,1.6617749999999978,-15.99225
(3S)Gal(b1-3)GlcNAc(b1-Sp8,3.0557000000000016,-3.2798,24.13545,-3.6775,-1.649350000000002,-19.813
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,22.97075,6.359600000000004,64.284525,2.0568,-1.8440000000000007,558.1683499999998
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,9.661275000000003,-1.103475000000001,13.055350000000004,5.325625,-4.831375,2219.73995
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.355699999999997,0.966125,9.207525,0.4663749999999993,2.337749999999998,-26.35849999999999
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,19.394424999999995,-15.345475,12.9965,-2.0679000000000034,20.069025,-15.588275
(3S)Gal(b1-4)GlcNAc(b1-Sp0,12.5426,1.1651250000000033,0.3570000000000011,10.4059,-2.7289250000000003,-39.31025000000001
(3S)Gal(b1-4)GlcNAc(b1-Sp8,7.2287000000000035,-5.8294000000000015,8.359425,13.183149999999998,1.910574999999998,-11.50145
(3S)Gal(b1-Sp8,9.832925,1.2123749999999998,11.444850000000002,2.9472499999999986,0.3695249999999993,-1.830575
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,8.4086,1.2551250000000005,5.338374999999997,8.889025,5.087900000000001,-6.959025000000002
