IUPAC,BPL (1ug/ml),BPL (10ug/ml),BPL (100ug/ml)
Gal(a1-Sp8,3.6394934458657837,6.498137336447577,12.055791205198163
Glc(a1-Sp8,2.7630824550370043,2.5715214912576587,6.773954216150216
Man(a1-Sp8,6.327151301270304,19.54626940475689,14.51151244572734
GalNAc(a1-Sp8,72.41517360319165,301.5661270019882,989.7752844531017
GalNAc(a1-Sp15,4.814230907770563,27.762169867330307,93.688741375982
Fuc(a1-Sp8,9.835252955016802,3.2219644695948118,7.53146949068817
Fuc(a1-Sp9,6.1065629721909325,9.15928784313134,10.687753790047127
Rha(a1-Sp8,12.489960514215676,14.361994521276165,12.542503815692722
Neu5Ac(a1-Sp8,7.496776918338535,5.4590540477876415,14.418086360164676
Neu5Ac(a1-Sp11,15.128483017446484,10.836197785047425,6.148301820015018
Neu5Ac(b1-Sp8,8.757895297767991,4.125985845023389,17.39224508478324
Gal(b1-Sp8,2.5897893640217164,6.821350246835299,11.94929249073628
Glc(b1-Sp8,10.94913477860237,7.065703997243777,4.916102103208057
Man(b1-Sp8,4.743284980808839,4.9953985809442685,4.401536644078598
GalNAc(b1-Sp8,130.3369180529813,637.8050137409127,641.1677859255623
GlcNAc(b1-Sp0,11.989946088390054,2.2675011670338745,3.586235159955355
GlcNAc(b1-Sp8,5.827896468137825,4.6355164030918266,3.875158360957651
GlcN[Gc](b1-Sp8,11.961529920401773,6.456284015334724,13.72357480019935
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.040324514593863,132.19109297559842,314.8672134728172
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,7.417621945520447,10.229447684503855,400.1921907225944
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,16.666376034899336,5.216906412408922,10.382186045457864
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,3.5285324072717126,7.690888365245366,4.7977293534719925
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.5995588808445214,6.307015643643728,7.907750982158787
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,14.704012833775499,24.84736290071845,6.258010062045878
(3S)Gal(b1-4)Glc(b1-Sp8,4.7396989238944816,6.630713381429385,5.252231155740703
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,1.972051124252783,9.658651866720325,9.024262848334665
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,10.701610930875477,6.492821334621617,10.95872778880682
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,4.715650829595704,4.566715980512319,2.4144110379137973
(3S)Gal(b1-3)GalNAc(a1-Sp8,9.904164690674325,5.460976007622942,5.851118516645628
(3S)Gal(b1-3)GlcNAc(b1-Sp0,1.1635990532252354,1.8755685973414367,4.644020665597862
(3S)Gal(b1-3)GlcNAc(b1-Sp8,8.286852205351158,3.284851952523563,2.4884178847546257
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,6.130414735562358,13.011465144504935,6.816075602573679
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,4.058261124648491,6.593544863665269,2.5292520651699952
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,6.705265321621016,10.401001846937632,2.513195810119064
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,3.6419521152810352,5.364292026213714,6.163863727133057
(3S)Gal(b1-4)GlcNAc(b1-Sp0,23.972441691450623,5.1501223942575844,17.302897453389125
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.868619229993926,4.190010534891291,4.566681653381735
(3S)Gal(b1-Sp8,2.9428509351760748,6.927433890698638,4.370157677551995
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,2.8934118411487875,12.673079893058095,2.0856710021397538
(4S)Gal(b1-4)GlcNAc(b1-Sp8,7.4286405963114595,9.813743687086662,5.375140767769095
(6P)Man(a1-Sp8,9.463003431257967,6.638985844928915,13.359199399508686
(6S)Gal(b1-4)Glc(b1-Sp0,6.103925409657848,17.361062620607832,9.082663740839838
(6S)Gal(b1-4)Glc(b1-Sp8,2.36463245117854,5.952237622944838,3.339239549533196
(6S)Gal(b1-4)GlcNAc(b1-Sp8,4.214670327162811,6.039091048880342,17.581200681314876
(6S)Gal(b1-4)(6S)Glc(b1-Sp8,4.659826589405808,3.3965517754530574,7.89143763766569
Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,4.50894107921509,4.163989319550826,4.354724114013042
(6S)GlcNAc(b1-Sp8,11.097241464248375,9.203542968652524,5.073159951811759
"Neu5,9Ac2(a1-Sp8",4.75839163968947,10.599159888406248,10.902372742473693
"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8",4.82357240504034,3.2821842173568974,5.504109177923343
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,6.286077496804607,7.955488175886295,10.80561227152353
Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,6.773666135053201,2.2139678518819177,1.2541446487546837
GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,2.067969691106068,3.9107563849593086,3.030360369521577
