IUPAC,SNA (0.001ug/ml),SNA (0.005ug/ml),SNA (0.1ug/ml),SNA (0.5ug/ml),SNA 0.5ug/ml,SNA (1ug/ml),SNA (5ug/ml),SNA 10ug/ml,SNA 100ug/ml
Gal(a1-Sp8,9.970625,18.981925000000004,21.948725,10.093225,32.963774999999984,6.254075,18.750875,1144.7273,124.80957500000004
Glc(a1-Sp8,25.69179999999999,31.265974999999994,20.397875,7.860525000000003,-87.53844999999998,30.03067500000001,7.018125,1749.7408250000005,269.79115
Man(a1-Sp8,22.910325,38.329974999999976,26.500249999999994,23.313050000000004,-105.57117499999998,42.3603,-2.558299999999999,1416.6633000000006,247.57742500000012
GalNAc(a1-Sp8,1.9723000000000024,5.890774999999998,7.838024999999997,16.084500000000006,-150.674525,-12.646974999999998,26.815125,303.959925,46.56307499999997
GalNAc(a1-Sp15,36.40242500000001,9.877400000000003,19.750475,17.907625000000003,-41.528000000000034,44.26095,23.847549999999995,956.5606,-8.519599999999997
Fuc(a1-Sp8,-4.32875,3.245825,13.909525000000002,5.793699999999999,104.960575,7.362049999999996,0.2434750000000019,730.1449249999997,-32.03339999999999
Fuc(a1-Sp9,33.59327500000001,9.210800000000004,10.951575,3.595975,109.26822500000004,11.083225,1.8551750000000016,96.07915,-81.61919999999998
Rha(a1-Sp8,-10.709625,23.582075000000003,5.094600000000002,23.235250000000004,-76.59582499999998,3.477075000000003,-2.52375,469.0901,-61.63069999999998
Neu5Ac(a1-Sp8,12.873575000000002,3.861725,0.3778750000000004,10.535050000000004,22.71570000000001,8.816125,23.70735,119.80872499999992,396.761975
Neu5Ac(a1-Sp11,10.454400000000003,7.818225000000003,8.3148,10.131549999999997,-74.06197500000002,0.2404499999999974,13.692975000000002,157.4690499999997,-63.875225
Neu5Ac(b1-Sp8,18.794775,8.633625,12.4408,5.8766250000000015,-21.600825000000004,17.118475000000004,7.944975000000002,378.766875,-199.685175
Gal(b1-Sp8,14.078875000000005,23.41465,5.550774999999998,1.5920500000000022,321.1245000000001,34.119675,23.98660000000001,419.25522500000017,122.32255000000004
Glc(b1-Sp8,3.43875,16.5925,7.452274999999997,12.711799999999998,-66.36852499999998,15.051875,7.16705,122.51590000000004,177.62835
Man(b1-Sp8,9.642725,4.7070500000000015,11.386125,11.504224999999995,682.7596000000002,-7.363900000000001,0.2302499999999981,91.74752500000002,132.95215
GalNAc(b1-Sp8,8.322550000000003,13.192125,8.985875,12.8068,-187.612525,8.511125,16.772400000000005,98.442075,87.171675
GlcNAc(b1-Sp0,11.610325000000005,5.34,12.37825,-0.7722000000000016,10.3213,34.801625000000016,2.295674999999997,17.973000000000006,0.5298999999999978
GlcNAc(b1-Sp8,24.60205000000001,6.114025,7.091324999999998,3.744124999999997,-89.44719999999998,-12.5888,2.0386500000000005,154.21625,-7.735374999999991
GlcN[Gc](b1-Sp8,-10.755675,5.762624999999996,7.5450250000000025,10.0918,17.111875,34.41112500000001,9.6053,192.56517499999995,-58.12059999999998
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,17.341075,4.9075,7.747349999999997,15.779024999999995,-69.69537500000001,31.19585,9.520975,63.50184999999999,-41.35932500000001
