IUPAC,ECL 0.01ug/ml,ECL 0.5ug/ml,ECL 1ug/ml,ECL 5ug/ml,ECL 50ug/ml
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,-4.1732,5.8667,0.592725,-4.952675,-1.008575
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,4.22745,15.3403,-13.648625,-21.77775,-10.1525
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,7.34775,7.672475,8.205575,21.494525,246.576325
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,11.0194,-2.253125,5.03965,10.33455,-13.261875
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-Sp9,4.6142,18.544875,17.421525,15.2877,20.041225
Fuc(a1-2)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp9,6.218625,3.1777,-0.3218,3.478225,5.644225
Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,-6.11105,0.692475,2.8279,4.761675,-2.220425
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp8,0.52745,2.06825,-6.4144,-9.062825,-1.9832
Fuc(a1-2)Gal(b1-3)GalNAc(a1-Sp14,-1.449675,9.485525,-3.46265,-1.686225,11.002325
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,8.132275,-7.042275,-3.5460000000000003,-9.5915,-19.864475
Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp9,1.469525,2.802675,-7.317225,-3.1635,6.6108
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp8,2.707025,-0.1591,-3.168325,2.904525,-7.68575
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10,28.690675,-0.26445,1.821375,17.23235,27.881475
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0,4.6765,13.737925,-7.253725,0.583125,-25.49505
Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8,35.85665,16.4972,35.0679,43.20805,16.396125
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,15.40895,15.5994,-4.4378,-17.22965,5.710325
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,26.257925,30.999425,16.6098,67.9698,45.296725
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,28.672525,38.45575,13.77135,6.170475,15.30455
Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,6.224025,3.997925,0.913275,8.249075,2.4341
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,8.1824,20.1542,44.8285,1756.489025,8162.761225
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,5.49505,23.29695,143.359025,2464.8198,8498.405125
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0,12.811675,-3.21045,22.1435,-8.8224,24.74065
Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8,17.5335,8.9102,117.1098,1477.902775,6283.1238
Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0,11.83115,7.649375,24.213325,4.3225,18.7286
Fuc(a1-2)Gal(b1-Sp8,7.933525,3.60705,17.1031,34.1743,42.891925
Fuc(a1-3)GlcNAc(b1-Sp8,-4.4859,2.6285,-16.087575,-8.1392,8.982175
Fuc(a1-4)GlcNAc(b1-Sp8,28.489975,2.8391,-6.920675,-19.2657,5.719575
Fuc(b1-3)GlcNAc(b1-Sp8,8.829925,12.925425,1.379475,3.7774,2.669675
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0,1.12225,1.298675,-3.467625,1.384825,-8.570825
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,12.15875,16.298125,44.35435,36.34295,15.2193
(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0,5.47165,0.916375,14.41385,1.5718,17.353275
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0,-5.121675,5.6582,-7.50825,-8.19155,-3.143175
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,-0.657225,12.718875,-15.507375,-10.136175,8.41865
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,-4.010725,5.595525,28.579025,-0.959475,1.807225
