IUPAC,AAL (0.01 ug/ml),AAL (0.1ug/ml),AAL (1ug/ml),AAL (10ug/ml),AAL (100 ug/ml)
Gal(a1-Sp8,15.250822149313805,6.313012477151178,13.75877328964444,20.531983196385767,5.849164663080588
Glc(a1-Sp8,12.47934608980641,8.102075452777521,13.334383941775,9.41037816898626,24.28798176689791
Man(a1-Sp8,10.547368250065988,10.109976061461992,12.443366339540145,17.49518249830983,8.568833361666043
GalNAc(a1-Sp8,4.424682009666534,12.19622641174993,25.95310382722397,2.4732541578185057,18.742902068494203
GalNAc(a1-Sp15,4.887714614554882,8.425700826785834,11.384337318548667,18.07086097162594,26.432292256048626
Fuc(a1-Sp8,203.7450321521227,1360.4642190900604,1321.3883454409086,2268.392224691501,1400.7461249716446
Fuc(a1-Sp9,118.52461572605554,584.7443913357389,2880.652348026051,1763.1246890744244,2178.2206493478297
Rha(a1-Sp8,7.084202233314634,4.651833815729744,12.309599259486673,11.275335301259705,16.836529496380773
Neu5Ac(a1-Sp8,10.729613059309267,5.388204661109299,23.88787333397429,38.889942981048016,18.716831387105387
Neu5Ac(a1-Sp11,24.25628470168436,5.663513860007759,16.593776386043054,6.758503942626661,10.99833177319785
Neu5Ac(b1-Sp8,5.575782665838639,10.86070163279825,3.716425899862216,22.541144892155923,12.349762504970153
Gal(b1-Sp8,12.856769891999836,19.30277001693449,42.137282487236476,28.07137032688592,57.97866320664868
Glc(b1-Sp8,10.354216817960367,19.146140449709453,19.40081989889001,16.94661072847608,48.25647666507266
Man(b1-Sp8,12.527414557681078,4.431986061951607,6.641463289567046,7.430783815094258,17.29384076627186
GalNAc(b1-Sp8,6.899270064953733,5.757719485178133,8.402030343910925,8.619989591399262,15.377246965240559
GlcNAc(b1-Sp0,14.53383356181362,25.068305351362838,9.300509617040724,5.737900482101445,19.547452400931085
GlcNAc(b1-Sp8,12.973204575971172,21.09386565410269,20.697232308773398,6.261062753971299,32.025431692471656
GlcN[Gc](b1-Sp8,3.099132017194495,15.537324993382866,1.2937212022560305,8.637630140650076,3.221036148379365
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,9.47466877393787,12.788122285249708,13.76842037934998,14.165026151640744,9.104315057295633
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp14,13.154687584627675,9.25565337167868,6.492904163456696,6.24110810587084,10.863954110574428
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(a1-Sp8,3.0208590880741237,6.24927180471186,30.92049116948986,14.931610261092624,7.9040420473746655
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,13.332278002527053,4.100915729037474,1.9429187757512008,28.50534441521477,17.87990189812757
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,3.2122276989653207,32.88971232643778,3.5065126669289537,12.73909061233049,27.97585836550272
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(a1-Sp0,16.443659611027407,120.05244724877063,1128.3676672240704,2314.9026336354323,13696.04438489819
(3S)Gal(b1-4)Glc(b1-Sp8,5.696132066294345,3.3031698688532507,16.884639279016287,3.641302061419791,7.82288015183666
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,2.9801098317288037,10.632934663072405,22.85498464930572,13.268641641730602,12.401756816677208
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,2.2520619757235907,22.03842165875695,5.747691142247188,6.922978631099968,6.4545762874103785
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,22.1029806477174,936.3904058818596,1678.8356715309162,449.57526195564947,1281.831507517863
(3S)Gal(b1-3)GalNAc(a1-Sp8,6.5354868292907895,7.986642001648755,6.534520819654647,7.037567998191325,2.642587864669779
(3S)Gal(b1-3)GlcNAc(b1-Sp0,5.516644027546688,8.420681596719673,5.339914698444792,10.744347453855292,10.95665387926443
(3S)Gal(b1-3)GlcNAc(b1-Sp8,5.577855245522244,8.233834293936214,9.68988374968967,12.351611510345526,5.292602772659829
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 ,62.47484405173893,258.0981024227603,1601.0550201361316,2054.773117817154,1828.947017101797
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8,18.63328264806,262.3309957807839,1405.0082872033213,1889.0043041831643,3506.8336600058037
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,10.155944229653556,9.140359703489064,11.006888703406007,14.081164291439116,12.412041271953091
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,13.552174139598408,30.45913232178214,32.54569081767973,5.682003589917325,58.49303505127059
(3S)Gal(b1-4)GlcNAc(b1-Sp0,5.791223534726206,8.87889599682866,7.728400251615255,12.275606436173875,7.248951135394263
(3S)Gal(b1-4)GlcNAc(b1-Sp8,4.243453560093088,19.023792214202885,6.315394355857759,14.867475006284694,23.699293158710432
(3S)Gal(b1-Sp8,1.505557498901983,11.7751805917857,8.508482293962109,26.46957869597664,23.032809585820544
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,7.750311704860662,42.09195991313746,8.295681159093169,20.94096463097709,9.496578170583364
(4S)Gal(b1-4)GlcNAc(b1-Sp8,9.81118197313657,9.271324686499767,5.0426727340270645,3.04565446223522,6.812872619473133
(6P)Man(a1-Sp8,11.171386293264286,18.76644796838229,10.437194486706394,11.660921254736529,17.968421049162842
