Index,IUPAC,IUPAC (Unselected)
28,(3S)Gal(b1-3)GlcNAc(b1-Sp0,(3S)Gal(b1-3)GlcNAc(b1-Sp0
29,(3S)Gal(b1-3)GlcNAc(b1-Sp8,(3S)Gal(b1-3)GlcNAc(b1-Sp8
30,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp0,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp0 
31,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp8,(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(a1-Sp8
32,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
33,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8
34,(3S)Gal(b1-4)GlcNAc(b1-Sp0,(3S)Gal(b1-4)GlcNAc(b1-Sp0
35,(3S)Gal(b1-4)GlcNAc(b1-Sp8,(3S)Gal(b1-4)GlcNAc(b1-Sp8
36,(3S)Gal(b1-Sp8,(3S)Gal(b1-Sp8
37,(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0
38,(4S)Gal(b1-4)GlcNAc(b1-Sp8,(4S)Gal(b1-4)GlcNAc(b1-Sp8
39,(6P)Man(a1-Sp8,(6P)Man(a1-Sp8
40,(6S)Gal(b1-4)Glc(b1-Sp0,(6S)Gal(b1-4)Glc(b1-Sp0
41,(6S)Gal(b1-4)Glc(b1-Sp8,(6S)Gal(b1-4)Glc(b1-Sp8
42,(6S)Gal(b1-4)GlcNAc(b1-Sp8,(6S)Gal(b1-4)GlcNAc(b1-Sp8
43,(6S)Gal(b1-4)(6S)Glc(b1-Sp8,(6S)Gal(b1-4)(6S)Glc(b1-Sp8
44,Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8,Neu5Ac(a2-3)(6S)Gal(b1-4)GlcNAc(b1-Sp8
45,(6S)GlcNAc(b1-Sp8,(6S)GlcNAc(b1-Sp8
46,"Neu5,9Ac2(a1-Sp8","Neu5,9Ac2(a1-Sp8"
47,"Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8","Neu5,9Ac2(a2-6)Gal(b1-4)GlcNAc(b1-Sp8"
48,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
49,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
50,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
51,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13,GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
52,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
53,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp13
54,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)M(an-a)(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp21
55,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp24
