Index,IUPAC,IUPAC (Unselected)
166,Gal(b1-4)GlcNAc(b1-Sp8,Gal(b1-4)GlcNAc(b1-Sp8
167,Gal(b1-4)GlcNAc(b1-Sp23,Gal(b1-4)GlcNAc(b1-Sp23
168,Gal(b1-4)Glc(b1-Sp0,Gal(b1-4)Glc(b1-Sp0
169,Gal(b1-4)Glc(b1-Sp8,Gal(b1-4)Glc(b1-Sp8
170,GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8,GlcNAc(a1-3)Gal(b1-4)GlcNAc(b1-Sp8
171,GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8,GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp8
172,GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8,GlcNAc(b1-2)Gal(b1-3)GalNAc(a1-Sp8
173,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp8
174,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14,GlcNAc(b1-6)[GlcNAc(b1-3)]GalNAc(a1-Sp14
175,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp8
176,GlcNAc(b1-3)GalNAc(a1-Sp8,GlcNAc(b1-3)GalNAc(a1-Sp8
177,GlcNAc(b1-3)GalNAc(a1-Sp14,GlcNAc(b1-3)GalNAc(a1-Sp14
178,GlcNAc(b1-3)Gal(b1-Sp8,GlcNAc(b1-3)Gal(b1-Sp8
179,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
180,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
181,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
182,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0,GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp0
183,GlcNAc(b1-MDPLys,GlcNAc(b1-4)(a1-MDPLys
184,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8,GlcNAc(b1-6)[GlcNAc(b1-4)]GalNAc(a1-Sp8
185,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-4)Gal(b1-4)GlcNAc(b1-Sp8
186,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
187,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
188,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp8
189,GlcNAc(b1-6)GalNAc(a1-Sp8,GlcNAc(b1-6)GalNAc(a1-Sp8
190,GlcNAc(b1-6)GalNAc(a1-Sp14,GlcNAc(b1-6)GalNAc(a1-Sp14
191,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8,GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp8
192,Glc(a1-4)Glc(b1-Sp8,Glc(a1-4)Glc(b1-Sp8
193,Glc(a1-4)Glc(a1-Sp8,Glc(a1-4)Glc(a1-Sp8
194,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8,Glc(a1-6)Glc(a1-6)Glc(b1-Sp8
195,Glc(b1-4)Glc(b1-Sp8,Glc(b1-4)Glc(b1-Sp8
196,Glc(b1-6)Glc(b1-Sp8,Glc(b1-6)Glc(b1-Sp8
,,G-ol(a1-Sp8
197,GlcA(a1-Sp8,GlcA(a1-Sp8
198,GlcA(b1-Sp8,GlcA(b1-Sp8
199,GlcA(b1-3)Gal(b1-Sp8,GlcA(b1-3)Gal(b1-Sp8
200,GlcA(b1-6)Gal(b1-Sp8,GlcA(b1-6)Gal(b1-Sp8
201,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,KDN(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
202,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
203,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9,Man(a1-2)Man(a1-2)Man(a1-3)Man(a1-Sp9
204,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-Sp9
205,Man(a1-2)Man(a1-3)Man(a1-Sp9,Man(a1-2)Man(a1-3)Man(a1-Sp9
206,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
207,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
208,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
209,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,Man(a1-6)[Man(a1-3)]Man(a1-Sp9
210,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9,Man(a1-2)Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-Sp9
211,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
212,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
213,Man(b1-4)GlcNAc(b1-Sp0,Man(b1-4)GlcNAc(b1-Sp0
214,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
215,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,(3S)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
216,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0,Fuc(a1-2)(6S)Gal(b1-4)GlcNAc(b1-Sp0
217,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8,Fuc(a1-2)Gal(b1-4)(6S)GlcNAc(b1-Sp8
218,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0,Fuc(a1-2)(6S)Gal(b1-4)(6S)Glc(b1-Sp0
219,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp8
220,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14,Neu5Ac(a2-3)Gal(b1-3)GalNAc(a1-Sp14
221,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
222,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
223,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
224,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,GalNAc(b1-4)[Neu5Ac(a2-8)Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
225,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8,Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a1-Sp8
226,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,Neu5Ac(a2-3)(6S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
227,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp0
228,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)GlcNAc(b1-Sp8
229,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
230,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc(b1-Sp0
231,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8,Neu5Ac(a2-6)[Neu5Ac(a2-3)]GalNAc(a1-Sp8
232,Neu5Ac(a2-3)GalNAc(a1-Sp8,Neu5Ac(a2-3)GalNAc(a1-Sp8
233,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-3)GalNAc(b1-4)GlcNAc(b1-Sp0
234,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8,Neu5Ac(a2-3)Gal(b1-3)(6S)GlcNAc(a1-Sp8
,,Neu5Ac(a2-3)Gal(b1-3)[ Fuc(a1-4)]GlcNAc(b1-Sp8
235,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
236,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Neu5Ac(a2-3)Gal(b1-3)]GlcNAc(b1-Sp8
237,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8,Neu5Ac(a2-3)Gal(b1-3)(6S)GalNAc(a1-Sp8
238,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp8
239,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,Neu5Ac(a2-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
240,Neu5Ac(a2-3)Gal(b1-Sp8,Neu5Ac(a2-3)Gal(b1-Sp8
241,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0
242,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
243,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0,Fuc(a1-2)(6S)Gal(b1-4)Glc(b1-Sp0
244,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
245,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-Sp8
246,Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)(6S)GlcNAc(b1-Sp8
247,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp8
248,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
249,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
250,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
251,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-Sp8
252,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
253,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
254,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
255,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8
256,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
257,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0,Fuc(a1-2)Gal(b1-4)(6S)Glc(b1-Sp0
258,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
259,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8,Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp8
260,Neu5Ac(a2-6)GalNAc(a1-Sp8,Neu5Ac(a2-6)GalNAc(a1-Sp8
261,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0
262,Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8,Neu5Ac(a2-6)Gal(b1-4)(6S)GlcNAc(b1-Sp8
263,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
264,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8
265,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
266,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
267,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp0
268,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8,Neu5Ac(a2-6)Gal(b1-4)Glc(b1-Sp8
269,Neu5Ac(a2-6)Gal(b1-Sp8,Neu5Ac(a2-6)Gal(b1-Sp8
270,Neu5Ac(a2-8)Neu5Ac(a1-Sp8,Neu5Ac(a2-8)Neu5Ac(a1-Sp8
271,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0
272,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
273,Neu5Ac(b2-6)GalNAc(a1-Sp8,Neu5Ac(b2-6)GalNAc(a1-Sp8
274,Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8,Neu5Ac(b2-6)Gal(b1-4)GlcNAc(b1-Sp8
275,Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,Neu5Gc(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
276,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0
277,Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,Neu5Gc(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
278,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0
279,Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0,Neu5Gc(a2-3)Gal(b1-4)Glc(b1-Sp0
280,Neu5Gc(a2-6)GalNAc(a1-Sp0,Neu5Gc(a2-6)GalNAc(a1-Sp0
281,Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-Sp0
282,Neu5Gc(a1-Sp8,Neu5Gc(a1-Sp8
283,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
284,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
285,Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0,Gal(b1-4)[Fuc(a1-3)](6S)GlcNAc(b1-Sp0 
286,Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0,Gal(b1-4)[Fuc(a1-3)](6S)Glc(b1-Sp0
287,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0
288,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
289,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
290,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-3)GlcNAc(b1-Sp0
291,4S(3S)Gal(b1-4)GlcNAc(b1-Sp0,4S(3S)Gal(b1-4)GlcNAc(b1-Sp0
292,(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,(6S)Gal(b1-4)(6S)GlcNAc(b1-Sp0
293,(6P)Glc(b1-Sp10,(6P)Glc(b1-Sp10
294,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]GalNAc(a1-Sp14
295,Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8,Gal(b1-3)Gal(b1-4)GlcNAc(b1-Sp8
296,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
297,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(a1-Sp0
298,GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(b1-Sp0,GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc(a1-Sp0
299,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(a1-6)Gal(b1-4)GlcNAc(b1-Sp0
300,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)GlcNAc(b1-Sp0
301,GalNAc(b1-3)Gal(b1-Sp8,GalNAc(b1-3)Gal(b1-Sp8
302,GlcA(b1-3)GlcNAc(b1-Sp8,GlcA(b1-3)GlcNAc(b1-Sp8
303,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
304,GlcNAc(b1-3)Man(b1-Sp10,GlcNAc(b1-3)Ma(n1-Sp10
305,GlcNAc(b1-4)GlcNAc(b1-Sp10,GlcNAc(b1-4)GlcNAc(b1-Sp10
306,GlcNAc(b1-4)GlcNAc(b1-Sp12,GlcNAc(b1-4)GlcNAc(b1-Sp12
,,MurNAc(b1-4)GlcNAc(b1-Sp10
307,Man(a1-6)Man(b1-Sp10,Man(a1-6)Man(b1-Sp10
308,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-Sp10,Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-3)]Man(b1-Sp10
309,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9,Man(a1-2)Man(a1-6)[Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9
310,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9,Man(a1-2)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(a1-6)[Man(a1-2)Man(a1-2)Man(a1-3)]Man(a1-Sp9
311,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[Neu5Ac(a2-3)Gal(b1-3)]GalNAc(a1-Sp14
312,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
313,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12,Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-Sp12
