Index,IUPAC
46,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)GlcNAc(b1-3)[Neu5Ac(a2-6)]Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc
47,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-3)GalNAc
48,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc
49,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc
50,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)[Neu5Ac(a2-6)]GalNAc
51,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-4)Gal(b1-4)Glc
52,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)]Gal(b1-3)GalNAc
53,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)]GalNAc
54,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)[Fuc(a1-2)]Gal(b1-3)[Neu5Ac(a2-6)]GalNAc
55,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)Gal(b1-3)GlcNAc(b1-6)]GalNAc
56,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-6)]GalNAc
57,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]GalNAc
58,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-6)]GalNAc
59,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]GalNAc
60,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal
61,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)GalNAc
62,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[Fuc(a1-3)GlcNAc(b1-6)]GalNAc
63,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-3)GlcNAc(b1-6)]GalNAc
64,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-3)[Fuc(a1-4)]GlcNAc(b1-6)]GalNAc
65,Fuc(a1-2)Gal(b1-3)[Fuc(a1-2)]Gal(b1-3)[GlcNAc(b1-6)]GalNAc
66,Fuc(a1-2)Gal(b1-3)[Fuc(a1-3)GlcNAc(b1-6)]GalNAc
67,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man
68,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc
69,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-3)[Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc
70,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal
71,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)GalNAc
72,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc
73,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc
74,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]GalNAc
75,Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)Glc
