glycans,AAA actual,AAA predicted,AAL actual,AAL predicted,ABA actual,ABA predicted,ACL actual,ACL predicted,AIA actual,AIA predicted,AMA actual,AMA predicted,AOL actual,AOL predicted,BPL actual,BPL predicted,CAA actual,CAA predicted,CAL actual,CAL predicted,CFL actual,CFL predicted,CTB actual,CTB predicted,ConA actual,ConA predicted,DBA actual,DBA predicted,DSL actual,DSL predicted,ECL actual,ECL predicted,EEL actual,EEL predicted,G3C actual,G3C predicted,GNL actual,GNL predicted,GSL actual,GSL predicted,HAA actual,HAA predicted,HHA actual,HHA predicted,HPA actual,HPA predicted,LCA actual,LCA predicted,LEL actual,LEL predicted,LFA actual,LFA predicted,LTL actual,LTL predicted,MAL actual,MAL predicted,MNA actual,MNA predicted,MOA actual,MOA predicted,MPL actual,MPL predicted,NPL actual,NPL predicted,PNA actual,PNA predicted,PSA actual,PSA predicted,PSL actual,PSL predicted,PTL actual,PTL predicted,RCA actual,RCA predicted,RPA actual,RPA predicted,SBA actual,SBA predicted,SJA actual,SJA predicted,SNA actual,SNA predicted,STA actual,STA predicted,TJA actual,TJA predicted,TL actual,TL predicted,UDA actual,UDA predicted,UEA actual,UEA predicted,VGA actual,VGA predicted,VVL actual,VVL predicted,WFL actual,WFL predicted,WGA actual,WGA predicted
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,14.831696,10.193586,11.214686,12.067913,2.0139606,3.3343961,1.0,0.0,1.0,0.0,1.9499649,0.75214136,14.037328,12.489481,1.0,0.11174029,2.2814274,0.34228492,1.9473314,0.0,32.44842,34.084908,2.7536523,3.0510201,1.0,0.6387104,9.820825,8.059549,14.052596,7.020874,2.034296,0.0,1.4420933,0.6095531,18.578697,10.780281,1.1407193,1.0310458,20.425608,18.731827,15.537831,26.13966,1.1730086,0.6402709,11.973701,14.705542,1.3914487,1.0344145,29.746323,22.391243,3.75075,6.419119,1.0,1.3747599,7.5796413,8.405834,2.456288,0.0,2.2343006,0.0,1.3915262,0.35031724,3.5582333,2.3189898,3.7314587,0.0,2.0403633,0.0,1.3253459,0.0,29.474026,23.21252,2.8944395,6.848571,2.1970932,1.2330528,11.277673,10.832369,8.28608,7.7746935,4.623629,0.0,25.456198,19.145721,2.3086083,0.0,2.348493,0.0,10.617106,8.129304,11.729869,6.174884,2.2397776,3.0548198,5.882877,7.3209257,6.644432,7.4198103,28.210558,27.66854
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0,3.0592766,4.3416767,7.4258113,10.981274,1.4151834,1.1560037,1.6141518,0.0,1.0,0.0,1.7273936,0.0,10.430618,11.991353,1.590362,0.0,2.4948332,0.0,1.0,0.0,33.322887,33.498978,4.3343863,3.2893245,2.9905257,0.0,11.352681,7.7965837,1.0,0.50936145,1.2180657,0.0,1.0,1.4166824,10.590006,8.505801,1.4944574,0.76261854,12.406322,15.968679,15.595924,22.649038,1.9076011,0.8101086,12.893418,13.295095,1.0,1.5726298,3.0464342,0.92221546,4.137486,5.927617,2.5446782,1.7738398,1.0,3.666224,1.1685706,0.45789546,1.9814174,2.624205,3.0645325,1.5864898,2.6933398,1.2666199,2.288167,0.0,1.6947358,2.3841228,2.7541656,0.0,26.477943,23.821623,4.061178,3.6016731,2.232931,1.9931312,7.714157,11.531482,5.572275,6.744074,3.8143032,0.0,2.2390697,2.5181918,2.6855204,0.0,2.1374626,0.0,2.0286987,0.0,1.0,0.0,1.0,3.4226518,2.5014446,6.5717244,1.6423119,6.268944,10.4789295,12.535003
GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8,2.7864308,2.9998302,4.312879,1.0571164,16.811022,11.444969,34.00016,15.529466,35.047108,33.44983,3.481272,1.9225371,3.804599,3.4312158,2.5869875,0.0,2.2976267,1.0027516,1.6380278,0.0,36.62884,35.653526,5.766963,4.5619926,1.0,0.0,1.9114566,0.9361526,1.6958144,0.0,2.9149985,0.0,1.5639429,0.0,2.7881012,3.8619802,1.3338449,0.83494383,2.781275,0.0,21.994598,7.6117063,11.976229,6.2283297,29.077543,8.996058,2.3234248,0.0,3.743514,0.0,6.4802938,5.541646,3.226617,2.6618207,1.0,3.962914,2.4101508,1.8746622,2.5357723,0.0,34.68159,29.10218,2.5332036,1.4298885,2.0726013,5.917915,2.0991247,0.0,3.0788546,0.0,2.2974153,2.401413,4.357604,6.2409177,2.0272093,3.6075525,1.0,0.0,1.3516623,0.0,7.3427277,0.0,5.949893,1.6603929,2.1007385,2.2590437,1.8931866,0.0,2.7231514,0.36669472,1.0,0.0,2.6125515,3.5347135,3.1115077,0.0,2.2281942,0.0,19.910997,12.111923
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8,3.418741,5.483497,30.827461,25.168169,2.4118412,2.0193844,1.0,0.0,1.0,0.0,2.7128413,1.4096668,25.855217,21.958946,1.0,7.3219404,1.114847,2.108463,1.0,2.7961469,33.93994,37.298958,3.8012242,2.8745065,1.0,0.0,7.9669733,5.4811296,1.8517636,2.341085,1.0,0.0,1.0,0.0,3.1716557,6.7923126,1.0,1.0442021,17.603455,19.570171,11.837627,26.09712,1.0,1.409745,14.592446,12.921654,1.0,2.685144,2.29837,5.2873783,3.5187294,4.8426147,2.186897,2.10498,1.0,2.6297543,2.2628565,2.2706454,2.466919,0.0,2.612974,6.681524,1.4339612,1.7744753,2.2734551,0.0,1.1962324,3.3169262,1.0,0.0,24.72786,24.784185,4.7845707,7.38622,1.0,1.865935,14.652083,16.212486,5.177499,7.9523067,1.0,0.0,2.2622998,5.579102,2.5359979,0.0,1.8252336,0.0,1.8836219,1.7947111,1.0,0.0,1.9179305,3.2118914,3.3354445,9.342408,3.6991866,11.461405,23.521547,19.132694
GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18,3.014898,4.662525,30.641933,19.187511,3.4195073,1.070834,1.0,0.0,1.0,0.0,1.2055988,0.0,26.833328,17.972012,6.4604316,4.0848475,1.0880314,0.56558037,3.498007,0.74284494,32.623688,32.497715,5.2430444,3.1701152,3.8840997,0.0,2.8021073,7.7809906,1.0,1.9879744,2.2804022,0.0,2.0295973,0.0,2.624133,7.1334205,1.0,1.0318794,22.622189,15.530349,29.430756,20.275862,2.448572,1.0656822,17.321104,12.562191,1.0,2.3764062,2.0872564,2.8452942,5.7916846,4.949333,1.5723741,2.6382866,5.3094826,2.0640354,2.1248024,1.3151436,2.220531,0.0,2.2620392,6.005014,2.4765406,1.4391,1.2208005,0.0,2.0038488,2.9837003,1.5687456,0.0,25.97937,23.221222,7.779652,3.699245,1.075419,2.2276502,21.839521,12.993503,7.639345,6.883864,2.7070312,0.0,1.0,4.4029837,2.5016043,0.0,1.3742266,0.0,2.9670572,0.0,1.0,0.0,3.1957407,2.867318,8.857507,6.9408684,13.505751,7.05678,26.20351,15.565421
GalNAc(a1-3)GalNAc(b1-Sp8,3.387912,7.052529,1.0,0.22090128,1.9385167,3.8371396,1.0,0.0,1.0,15.646952,1.4385422,1.2984661,1.9787649,2.6526346,5.3640504,9.71089,1.0,1.9884623,1.0,0.0,35.888668,37.14437,4.0908337,3.685517,6.7937913,0.0,30.715828,6.0316606,1.4768864,0.04863745,1.0,0.0,1.0,0.0,2.4286993,1.9840927,1.0,1.3759341,25.899931,14.965336,15.690388,18.347328,1.0,4.389103,31.303389,14.174673,1.0,0.0,2.457459,0.0,18.391565,6.5984535,1.0,2.3886828,1.0,5.10791,1.0,3.7273471,1.7322061,0.0,2.3763003,17.13345,2.7783287,2.6859841,2.4963775,0.0,2.924276,0.0,1.0,0.0,8.995136,7.823038,3.2242324,5.67914,2.7228007,2.5077472,25.920908,23.445854,1.0,3.414437,1.0,0.0,1.6219754,1.8741249,2.1273723,0.0,1.006853,0.0,1.9404022,0.17055152,1.0,0.0,4.576536,3.5950184,19.958809,18.570526,30.325962,15.773569,20.90451,13.934766
GalNAc(a1-3)Gal(b1-Sp8,6.3923035,5.034217,1.0,0.0,3.0240338,1.0351257,1.0,0.0,1.0,11.865156,2.905553,0.28361696,2.561612,0.0,22.567255,10.051163,3.8076513,1.0503503,1.0,1.4816724,36.022984,38.970474,4.316339,4.024839,1.0,2.4886026,4.935172,10.026052,1.0,2.320434,2.4236834,0.0,1.0,0.0,2.3357277,1.462003,1.7042942,1.5393577,30.438099,20.903057,29.015488,18.702442,2.255568,3.0767694,26.625372,14.426671,2.3721433,2.0327075,2.1776366,0.0,15.853844,7.5883284,1.0,2.2861536,8.486751,1.5247722,2.011385,2.6224575,2.595401,0.0,3.7910755,12.988548,2.6253777,2.5723777,5.281258,0.0,2.5245788,2.7513962,3.1836438,0.0,17.084974,11.274872,14.218812,9.105061,3.1102185,3.144703,33.094475,31.940498,7.659497,3.007225,3.5339766,0.0,2.2937322,2.2488146,2.600011,0.0,1.4040741,0.0,1.8170776,0.7228784,1.0,0.0,5.578697,4.331271,31.793156,21.457047,31.771595,22.67184,31.14078,12.881629
GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8,33.502216,18.830597,32.61488,23.172604,2.539697,2.2066882,1.0,0.0,1.0,0.0,1.0,0.79712516,26.763071,20.835503,1.0,0.0,3.328556,0.0,1.0,0.0,35.826893,22.687885,4.099575,4.7707562,4.634967,0.0,4.2013245,9.51186,10.836275,11.3508415,1.0,8.901289,1.0,0.5470265,3.6084843,10.129992,1.0,1.0550942,31.649519,16.959536,23.076485,15.904898,1.1019181,0.8273046,30.657635,7.719752,1.8468878,0.7013085,30.993586,29.888493,18.888695,6.1558495,5.49324,4.7734737,29.30393,10.786359,1.8923305,0.0,2.5721383,0.0,3.849367,3.487084,6.121852,3.5272171,7.2024765,0.0,2.7988048,2.714286,2.1685948,0.0,1.8538076,16.170439,3.3339972,15.551146,1.5642563,2.7244558,25.90943,16.478296,4.7157426,0.0,3.9286938,0.0,27.947248,24.409943,1.0,0.0,1.6671879,0.0,14.974165,10.940893,33.72463,40.809418,5.3550096,4.4476733,15.851128,10.786331,25.930883,6.5969048,33.69002,28.168037
GalNAc(b1-3)GalNAc(a1-Sp8,2.7742343,2.8977025,1.0,0.0,10.93265,8.407,17.589638,19.137215,33.678158,27.718966,2.506202,0.0,2.4585774,0.2893889,1.0905668,22.322235,2.2025366,0.0,1.0,0.0,34.851795,43.707268,3.1583326,3.8312552,1.0,0.0,1.4381315,6.593329,1.0,0.08637649,2.7444527,0.0,1.0,0.0,2.347426,1.5768855,2.0562747,0.6206327,3.0103006,5.3559384,1.0,22.785608,11.807096,5.7034316,31.533667,17.515629,3.1679492,0.0,2.0519295,0.0,6.4468703,7.1039324,5.306815,2.0437424,8.326488,0.2710997,3.6774592,0.1606946,2.515988,0.0,32.000965,25.931496,1.0,1.2204106,1.0,10.893589,1.0,0.0,2.4876983,0.0,2.0300424,5.7512064,4.5214024,6.1949444,1.9147763,2.7182434,1.0,22.166773,1.5371536,0.0,1.0,0.0,7.8708625,1.5729767,2.2638211,0.0,1.6760393,0.0,2.5095952,0.54696476,1.0,0.0,2.2845163,3.9716377,2.394052,24.4785,1.0,19.614605,3.468896,12.660099
GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8,3.2565398,0.3758524,31.573996,25.197815,2.2801313,2.8193088,2.445449,6.7316513,11.608257,0.0,1.172154,0.0,23.06385,21.553383,30.476448,17.961292,1.5672475,0.9161344,1.0,0.0,16.358849,17.481045,3.819131,3.6089377,2.3009417,0.0,1.38868,3.989643,1.5513688,0.0,2.3900442,0.0,1.7497387,0.0,2.8071585,4.595403,2.0343885,0.0,1.0,1.2298619,13.640353,7.098092,2.255678,0.0,1.0,4.7017117,1.0,0.0,2.154555,0.0,3.5649393,3.2305458,3.294323,3.2925448,1.0,0.0,3.4433725,0.0,2.4572809,0.0,24.444187,4.3625836,2.2976582,0.0,1.0,0.0,2.060676,0.0,1.9151785,0.0,2.3826072,12.8568735,3.2789066,4.0072002,1.7904925,2.7691555,25.473902,5.4030123,3.1479225,2.6566498,1.7456491,0.0,2.6087623,0.84057283,1.9200305,0.0,1.5316355,0.0,2.006007,0.0,1.0,0.0,5.268915,2.746086,30.384853,3.8576357,32.635216,8.785692,8.197064,11.677467
